	date	cdsd	cldd	cldd_attributes	dp01	dp01_attributes	dp10	dp10_attributes	dp1x	dp1x_attributes	dsnd	dsnw	dsnw_attributes	dt00	dt00_attributes	dt32	dt32_attributes	dx32	dx32_attributes	dx70	dx70_attributes	dx90	dx90_attributes	dyfg	dyts	emnt	emnt_attributes	emsd	emsd_attributes	emsn	emsn_attributes	emxp	emxp_attributes	emxt	emxt_attributes	fzf0	fzf0_attributes	fzf1	fzf1_attributes	fzf2	fzf2_attributes	fzf3	fzf3_attributes	fzf4	fzf4_attributes	fzf5	fzf5_attributes	fzf6	fzf6_attributes	fzf7	fzf7_attributes	fzf8	fzf8_attributes	fzf9	fzf9_attributes	hdsd	hdsd_attributes	htdd	htdd_attributes	prcp	prcp_attributes	snow	snow_attributes	tavg	tavg_attributes	tmax	tmax_attributes	tmin	tmin_attributes	wdmv	wdmv_attributes
0	1910	5.3	5.3	6.0	31.0	6.0	30.0	6.0	5.0	6.0				5.0	6.0	202.0	6.0	19.0	6.0	96.0	6.0	0.0	6.0			-21.1	[6.0, 202.0, '+']					63.5	[' ', 6.0, 1203.0, ' ']	31.7	[6.0, 530.0, ' ']	-3.3	[6.0, 1002.0]	-3.3	[6.0, 1002.0]	-6.7	[6.0, 1119.0]	-6.7	[6.0, 1119.0]	-10.0	[6.0, 1128.0]	-3.3	[6.0, 704.0]	-3.3	[6.0, 704.0]	-4.4	[6.0, 521.0]	-8.3	[6.0, 326.0]	-8.9	[6.0, 325.0]					499.8	[' ', 6.0]			6.71	6.0	14.29	6.0	-0.88	6.0		
1	1911	1.4	1.4	6.0										11.0	6.0	250.0	6.0	30.0	6.0	74.0	6.0	0.0	6.0			-23.3	[6.0, 226.0, ' ']							28.9	[6.0, 715.0, ' ']	-2.8	[6.0, 904.0]	-2.8	[6.0, 904.0]	-4.4	[6.0, 920.0]	-6.7	[6.0, 1002.0]	-11.1	[6.0, 1112.0]	0.0	[6.0, 701.0]	-2.2	[6.0, 624.0]	-6.1	[6.0, 525.0]	-7.2	[6.0, 510.0]	-13.3	[6.0, 413.0]	4580.9	9.0	4580.9	6.0					4.17	6.0	11.27	6.0	-2.94	6.0		
2	1912	0.3	0.3	6.0								34.0	6.0	1.0	6.0	250.0	6.0	13.0	6.0	69.0	6.0	0.0	6.0			-18.9	[6.0, 103.0, ' ']			330.0	[' ', 6.0, 1215.0, ' ']			30.0	[6.0, 716.0, ' ']	-1.1	[6.0, 816.0]	-2.2	[6.0, 830.0]	-5.6	[6.0, 1008.0]	-8.3	[6.0, 1028.0]	-9.4	[6.0, 1119.0]	-0.6	[6.0, 704.0]	-3.3	[6.0, 701.0]	-5.6	[6.0, 503.0]	-10.0	[6.0, 426.0]	-10.0	[6.0, 426.0]	5008.7	7.0	5008.7	6.0			3966.0	[' ', 6.0]	4.7	6.0	11.93	6.0	-2.54	6.0		
3	1913	0.0	0.0	6.0	67.0	6.0	56.0	6.0	7.0	6.0				5.0	6.0	235.0	6.0	29.0	6.0	83.0	6.0	0.0	6.0	7.0		-22.2	[6.0, 105.0, ' ']					118.6	[' ', 6.0, 1231.0, ' ']	29.4	[6.0, 712.0, ' ']	0.0	[6.0, 814.0]	-3.9	[6.0, 924.0]	-7.8	[6.0, 1004.0]	-7.8	[6.0, 1004.0]	-12.8	[6.0, 1123.0]	0.0	[6.0, 629.0]	-2.8	[6.0, 627.0]	-4.4	[6.0, 514.0]	-6.7	[6.0, 502.0]	-8.9	[6.0, 501.0]	4941.3	3.0	4941.3	6.0	765.7	[' ', 6.0]			4.96	6.0	12.48	6.0	-2.56	6.0		
4	1914	5.3	5.3	6.0	65.0	6.0	55.0	6.0	13.0	6.0				4.0	6.0	235.0	6.0	24.0	6.0	87.0	6.0	0.0	6.0			-18.9	[6.0, 1214.0, '+']					68.8	[' ', 6.0, 113.0, ' ']	30.6	[6.0, 815.0, '+']	-0.6	[6.0, 905.0]	-3.9	[6.0, 908.0]	-6.1	[6.0, 1020.0]	-6.7	[6.0, 1118.0]	-9.4	[6.0, 1128.0]	-1.7	[6.0, 627.0]	-2.8	[6.0, 611.0]	-5.0	[6.0, 606.0]	-6.7	[6.0, 429.0]	-11.1	[6.0, 330.0]	4676.0	0.0	4676.0	6.0	888.3	[' ', 6.0]			5.3	6.0	12.66	6.0	-2.06	6.0		
5	1915	3.2	3.2	6.0										2.0	6.0	256.0	6.0	19.0	6.0	99.0	6.0	0.0	6.0	2.0		-19.4	[6.0, 1231.0, '+']							31.7	[6.0, 829.0, ' ']	0.0	[6.0, 911.0]	-4.4	[6.0, 912.0]	-4.4	[6.0, 912.0]	-6.7	[6.0, 1105.0]	-13.3	[6.0, 1110.0]	-0.6	[6.0, 707.0]	-2.2	[6.0, 627.0]	-5.6	[6.0, 611.0]	-9.4	[6.0, 502.0]	-9.4	[6.0, 502.0]	4766.2	2.0	4766.2	6.0					5.58	6.0	13.67	6.0	-2.51	6.0		
6	1916	0.0	0.0	6.0								40.0	6.0	8.0	6.0	243.0	6.0	25.0	6.0	68.0	6.0	0.0	6.0			-26.1	[6.0, 130.0, ' ']			838.0	[' ', 6.0, 127.0, ' ']			28.3	[6.0, 711.0, ' ']	-0.6	[6.0, 805.0]	-2.2	[6.0, 924.0]	-5.0	[6.0, 1004.0]	-6.7	[6.0, 1106.0]	-11.1	[6.0, 1107.0]	0.0	[6.0, 728.0]	-2.8	[6.0, 602.0]	-6.1	[6.0, 524.0]	-7.2	[6.0, 331.0]	-9.4	[6.0, 324.0]	4543.5	5.0	4543.5	6.0			9679.0	[' ', 6.0]	4.79	6.0	12.41	6.0	-2.84	6.0		
7	1917	17.5	17.5	6.0	70.0	6.0	39.0	6.0	8.0	6.0		31.0	6.0	7.0	6.0	234.0	6.0	33.0	6.0	114.0	6.0	1.0	6.0	2.0		-21.7	[6.0, 117.0, ' ']			813.0	[' ', 6.0, 221.0, ' ']	66.8	[' ', 6.0, 224.0, ' ']	33.3	[6.0, 712.0, ' ']	-0.6	[6.0, 907.0]	-2.2	[6.0, 923.0]	-4.4	[6.0, 1018.0]	-6.7	[6.0, 1205.0]			-0.6	[6.0, 629.0]	-2.8	[6.0, 612.0]	-4.4	[6.0, 518.0]	-6.7	[6.0, 516.0]	-10.6	[6.0, 418.0]	5153.4	4.0	5153.4	6.0	663.9	[' ', 6.0]	4470.0	[' ', 6.0]	5.52	6.0	13.58	6.0	-2.53	6.0		
8	1918	2.8	2.8	6.0										1.0	6.0	223.0	6.0	24.0	6.0	100.0	6.0	0.0	6.0	3.0		-17.8	[6.0, 215.0, ' ']							31.1	[6.0, 628.0, ' ']	-0.6	[6.0, 923.0]	-2.8	[6.0, 1016.0]	-8.9	[6.0, 1105.0]	-8.9	[6.0, 1105.0]	-8.9	[6.0, 1105.0]	-0.6	[6.0, 602.0]	-2.2	[6.0, 528.0]	-4.4	[6.0, 519.0]	-9.4	[6.0, 414.0]	-9.4	[6.0, 414.0]	4147.9	9.0	4147.9	6.0					5.82	6.0	13.5	6.0	-1.85	6.0		
9	1919	22.5	22.5	6.0										1.0	6.0	234.0	6.0	29.0	6.0	117.0	6.0	2.0	6.0	5.0		-20.0	[6.0, 1213.0, ' ']							32.8	[6.0, 721.0, ' ']	-1.1	[6.0, 905.0]	-3.3	[6.0, 1004.0]	-5.0	[6.0, 1018.0]	-7.8	[6.0, 1027.0]	-9.4	[6.0, 1031.0]	-1.1	[6.0, 617.0]	-2.2	[6.0, 614.0]	-4.4	[6.0, 421.0]	-9.4	[6.0, 414.0]	-9.4	[6.0, 414.0]	4569.3	3.0	4569.3	6.0					5.58	6.0	13.52	6.0	-2.37	6.0		
10	1920	7.4	7.4	6.0										0.0	6.0	242.0	6.0	21.0	6.0	103.0	6.0	1.0	6.0	2.0		-16.7	[6.0, 107.0, ' ']							32.8	[6.0, 816.0, ' ']	0.0	[6.0, 907.0]	-3.3	[6.0, 924.0]	-5.6	[6.0, 1007.0]	-6.7	[6.0, 1013.0]	-10.6	[6.0, 1020.0]	-0.6	[6.0, 720.0]	-2.8	[6.0, 531.0]	-6.7	[6.0, 502.0]	-6.7	[6.0, 502.0]	-8.9	[6.0, 421.0]	4675.5	5.0	4675.5	6.0					5.26	6.0	13.04	6.0	-2.52	6.0		
11	1921	6.8	6.8	6.0	76.0	6.0	50.0	6.0	8.0	6.0				2.0	6.0	229.0	6.0	14.0	6.0	117.0	6.0	0.0	6.0			-17.8	[6.0, 207.0, '+']					62.7	[' ', 6.0, 118.0, ' ']	31.1	[6.0, 808.0, '+']	0.0	[6.0, 906.0]	-2.2	[6.0, 913.0]	-7.8	[6.0, 1024.0]	-7.8	[6.0, 1024.0]	-9.4	[6.0, 1117.0]	0.0	[6.0, 703.0]	-2.2	[6.0, 617.0]	-5.6	[6.0, 529.0]	-6.7	[6.0, 517.0]	-10.6	[6.0, 502.0]	4645.5	5.0	4645.5	6.0	736.8	[' ', 6.0]			6.11	6.0	14.22	6.0	-2.0	6.0		
12	1922	14.0	14.0	6.0										3.0	6.0	232.0	6.0	25.0	6.0	114.0	6.0	3.0	6.0			-21.1	[6.0, 120.0, ' ']							33.3	[6.0, 809.0, '+']	0.0	[6.0, 815.0]	-2.2	[6.0, 1003.0]	-7.8	[6.0, 1029.0]	-7.8	[6.0, 1029.0]	-11.7	[6.0, 1103.0]	0.0	[6.0, 610.0]	-2.2	[6.0, 527.0]	-5.6	[6.0, 526.0]	-6.7	[6.0, 511.0]	-10.6	[6.0, 418.0]	4634.2	2.0	4634.2	6.0					5.18	6.0	13.06	6.0	-2.7	6.0		
13	1923	10.6	10.6	6.0	80.0	6.0	49.0	6.0	4.0	6.0				4.0	6.0	242.0	6.0	20.0	6.0	87.0	6.0	0.0	6.0	1.0		-19.4	[6.0, 202.0, ' ']					43.9	[' ', 6.0, 123.0, ' ']	31.7	[6.0, 730.0, '+']	0.0	[6.0, 805.0]	-2.2	[6.0, 924.0]	-5.6	[6.0, 1023.0]	-6.7	[6.0, 1201.0]	-8.9	[6.0, 1202.0]	0.0	[6.0, 626.0]	-2.2	[6.0, 624.0]	-6.1	[6.0, 531.0]	-6.7	[6.0, 403.0]	-8.9	[6.0, 321.0]	4596.3	3.0	4596.3	6.0	565.3	[' ', 6.0]			5.34	6.0	13.04	6.0	-2.36	6.0		
14	1924	11.0	11.0	6.0										5.0	6.0	224.0	6.0	13.0	6.0	122.0	6.0	2.0	6.0			-23.3	[6.0, 1218.0, ' ']							33.3	[6.0, 630.0, ' ']	-2.8	[6.0, 920.0]	-2.8	[6.0, 920.0]	-7.2	[6.0, 1011.0]	-7.2	[6.0, 1011.0]	-10.0	[6.0, 1030.0]	0.0	[6.0, 619.0]	-2.8	[6.0, 618.0]	-4.4	[6.0, 505.0]	-6.7	[6.0, 425.0]	-8.9	[6.0, 416.0]	4290.5	5.0	4290.5	6.0					6.26	6.0	14.74	6.0	-2.22	6.0		
15	1925	18.6	18.6	6.0	82.0	6.0	58.0	6.0	4.0	6.0				1.0	6.0	229.0	6.0	10.0	6.0	89.0	6.0	2.0	6.0			-17.8	[6.0, 116.0, ' ']					50.8	[' ', 6.0, 206.0, ' ']	32.8	[6.0, 715.0, ' ']	0.0	[6.0, 823.0]	-5.0	[6.0, 918.0]	-5.0	[6.0, 918.0]	-10.0	[6.0, 1104.0]	-10.0	[6.0, 1104.0]	-0.6	[6.0, 606.0]	-3.9	[6.0, 605.0]	-5.0	[6.0, 603.0]	-7.8	[6.0, 420.0]	-9.4	[6.0, 330.0]	4409.1	1.0	4409.1	6.0	645.4	[' ', 6.0]			6.17	6.0	13.68	6.0	-1.34	6.0		
16	1926	15.8	15.8	6.0	63.0	6.0	44.0	6.0	7.0	6.0				1.0	6.0	228.0	6.0	12.0	6.0	123.0	6.0	0.0	6.0			-17.8	[6.0, 120.0, ' ']					59.7	[' ', 6.0, 129.0, ' ']	31.7	[6.0, 716.0, '+']	0.0	[6.0, 817.0]	-2.2	[6.0, 918.0]	-5.6	[6.0, 1008.0]	-6.7	[6.0, 1113.0]	-10.0	[6.0, 1211.0]	-0.6	[6.0, 615.0]	-2.2	[6.0, 525.0]	-8.3	[6.0, 508.0]	-8.3	[6.0, 508.0]	-10.6	[6.0, 224.0]	4305.4	4.0	4305.4	6.0	764.5	[' ', 6.0]			6.85	6.0	15.29	6.0	-1.59	6.0		
17	1927	6.3	6.3	6.0	77.0	6.0	54.0	6.0	12.0	6.0				0.0	6.0	237.0	6.0	18.0	6.0	96.0	6.0	0.0	6.0			-16.1	[6.0, 410.0, ' ']					49.5	[' ', 6.0, 1229.0, ' ']	30.6	[6.0, 714.0, ' ']	-1.1	[6.0, 907.0]	-2.2	[6.0, 908.0]	-5.0	[6.0, 1005.0]	-6.7	[6.0, 1101.0]	-10.6	[6.0, 1122.0]	-0.6	[6.0, 705.0]	-2.2	[6.0, 531.0]	-5.6	[6.0, 528.0]	-6.7	[6.0, 419.0]	-10.6	[6.0, 417.0]	4544.1	1.0	4544.1	6.0	900.2	[' ', 6.0]			5.66	6.0	13.23	6.0	-1.92	6.0		
18	1928	17.3	17.3	6.0	66.0	6.0	36.0	6.0	8.0	6.0				2.0	6.0	215.0	6.0	15.0	6.0	119.0	6.0	3.0	6.0			-18.3	[6.0, 115.0, ' ']					88.9	[' ', 6.0, 325.0, ' ']	33.9	[6.0, 725.0, ' ']	-0.6	[6.0, 909.0]	-2.8	[6.0, 1004.0]	-4.4	[6.0, 1011.0]	-6.7	[6.0, 1014.0]	-11.1	[6.0, 1117.0]	-0.6	[6.0, 629.0]	-2.8	[6.0, 503.0]	-4.4	[6.0, 424.0]	-8.3	[6.0, 408.0]	-10.6	[6.0, 403.0]	4386.6	6.0	4386.6	6.0	656.6	[' ', 6.0]			6.55	6.0	14.61	6.0	-1.52	6.0		
19	1929	23.3	23.3	6.0	50.0	6.0	36.0	6.0	7.0	6.0				3.0	6.0	235.0	6.0	18.0	6.0	108.0	6.0	1.0	6.0			-21.1	[6.0, 207.0, ' ']					84.8	[' ', 6.0, 1210.0, ' ']	32.2	[6.0, 814.0, ' ']	-1.7	[6.0, 908.0]	-2.2	[6.0, 924.0]	-4.4	[6.0, 1028.0]	-7.8	[6.0, 1112.0]	-9.4	[6.0, 1113.0]	-0.6	[6.0, 619.0]	-3.3	[6.0, 617.0]	-4.4	[6.0, 602.0]	-6.7	[6.0, 422.0]	-14.4	[6.0, 410.0]	4657.6	6.0	4657.6	6.0	626.8	[' ', 6.0]			6.26	6.0	14.46	6.0	-1.94	6.0	60317.0	6.0
20	1930	9.3	9.3	6.0	66.0	6.0	44.0	6.0	7.0	6.0				3.0	6.0	232.0	6.0	21.0	6.0	105.0	6.0	0.0	6.0			-21.1	[6.0, 108.0, ' ']					41.4	[' ', 6.0, 105.0, ' ']	31.7	[6.0, 715.0, ' ']	-1.1	[6.0, 911.0]	-2.8	[6.0, 925.0]	-4.4	[6.0, 1011.0]	-13.9	[6.0, 1114.0]	-13.9	[6.0, 1114.0]	-1.1	[6.0, 624.0]	-2.2	[6.0, 601.0]	-7.8	[6.0, 508.0]	-7.8	[6.0, 508.0]	-9.4	[6.0, 318.0]	4247.9	9.0	4247.9	6.0	559.3	[' ', 6.0]			5.87	6.0	13.84	6.0	-2.11	6.0		
21	1931	56.6	56.6	0.0	66.0	0.0	51.0	0.0	6.0	0.0		39.0	0.0	2.0	0.0	215.0	0.0	21.0	0.0	108.0	0.0	9.0	0.0			-18.3	[0.0, 1215.0, '+']			508.0	[' ', 0.0, 1227.0, ' ']	55.9	[' ', 0.0, 1227.0, ' ']	33.9	[0.0, 720.0, ' ']	-3.3	[0.0, 909.0]	-3.3	[0.0, 909.0]	-7.2	[0.0, 1026.0]	-7.2	[0.0, 1026.0]	-13.3	[0.0, 1116.0]	-1.1	[0.0, 629.0]	-5.6	[0.0, 425.0]	-5.6	[0.0, 425.0]	-6.7	[0.0, 423.0]	-12.2	[0.0, 306.0]	4283.7	7.0	4283.7	0.0	740.2	[' ', 0.0]	5954.0	[' ', 0.0]	6.65	0.0	14.71	0.0	-1.41	0.0		
22	1932	10.5	10.5	0.0	74.0	0.0	42.0	0.0	4.0	0.0		23.0	0.0	13.0	0.0	223.0	0.0	42.0	0.0	111.0	0.0	0.0	0.0			-24.4	[0.0, 203.0, ' ']			660.0	[' ', 0.0, 131.0, ' ']	66.0	[' ', 0.0, 131.0, ' ']	31.7	[0.0, 804.0, ' ']	0.0	[0.0, 830.0]	-2.2	[0.0, 1013.0]	-6.1	[0.0, 1018.0]	-8.9	[0.0, 1103.0]	-8.9	[0.0, 1103.0]	0.0	[0.0, 608.0]	-2.8	[0.0, 606.0]	-4.4	[0.0, 522.0]	-8.9	[0.0, 422.0]	-8.9	[0.0, 422.0]	4810.3	3.0	4810.3	0.0	519.9	[' ', 0.0]	3103.0	[' ', 0.0]	5.32	0.0	13.14	0.0	-2.5	0.0		
23	1933	34.7	34.7	0.0	66.0	0.0	42.0	0.0	11.0	0.0		29.0	0.0	7.0	0.0	226.0	0.0	27.0	0.0	116.0	0.0	5.0	0.0			-23.3	[0.0, 210.0, ' ']			414.0	[' ', 0.0, 1030.0, ' ']	80.0	[' ', 0.0, 1029.0, ' ']	34.4	[0.0, 815.0, ' ']	0.0	[0.0, 909.0]	-2.2	[0.0, 1014.0]	-7.8	[0.0, 1101.0]	-7.8	[0.0, 1101.0]	-8.9	[0.0, 1130.0]	-1.1	[0.0, 619.0]	-2.8	[0.0, 526.0]	-5.0	[0.0, 519.0]	-7.2	[0.0, 509.0]	-11.1	[0.0, 508.0]	4840.3	3.0	4840.3	0.0	725.6	[' ', 0.0]	4663.0	[' ', 0.0]	5.62	0.0	13.71	0.0	-2.47	0.0		
24	1934	21.1	21.1	0.0	73.0	0.0	42.0	0.0	0.0	0.0		15.0	0.0	1.0	0.0	197.0	0.0	7.0	0.0	117.0	0.0	4.0	0.0			-17.8	[0.0, 1231.0, ' ']			216.0	[' ', 0.0, 1226.0, '+']	23.4	[' ', 0.0, 613.0, ' ']	33.9	[0.0, 728.0, ' ']	-1.7	[0.0, 923.0]	-2.2	[0.0, 924.0]	-5.0	[0.0, 926.0]	-10.0	[0.0, 1120.0]	-10.0	[0.0, 1120.0]	-0.6	[0.0, 626.0]	-2.8	[0.0, 502.0]	-4.4	[0.0, 501.0]	-6.7	[0.0, 301.0]	-8.9	[0.0, 212.0]	3883.4	4.0	3883.4	0.0	461.7	[' ', 0.0]	1609.0	[' ', 0.0]	7.5	0.0	15.32	0.0	-0.32	0.0		
25	1935	13.4	13.4	0.0	79.0	0.0	52.0	0.0	6.0	0.0		29.0	0.0	5.0	0.0	225.0	0.0	25.0	0.0	116.0	0.0	0.0	0.0			-22.8	[0.0, 120.0, '+']			335.0	[' ', 0.0, 306.0, ' ']	47.0	[' ', 0.0, 407.0, ' ']	31.7	[0.0, 812.0, '+']	0.0	[0.0, 929.0]	-2.8	[0.0, 1013.0]	-7.2	[0.0, 1022.0]	-7.2	[0.0, 1022.0]	-10.6	[0.0, 1031.0]	-0.6	[0.0, 710.0]	-2.2	[0.0, 615.0]	-4.4	[0.0, 501.0]	-6.7	[0.0, 418.0]	-8.9	[0.0, 410.0]	4470.4	4.0	4470.4	0.0	659.0	[' ', 0.0]	3256.0	[' ', 0.0]	5.51	0.0	13.34	0.0	-2.33	0.0		
26	1936																																																							4556.9	9.0	4556.9	0.0												
27	1937	12.8	12.8	0.0	79.0	0.0	47.0	0.0	9.0	0.0		23.0	0.0	8.0	0.0	217.0	0.0	37.0	0.0	109.0	0.0	0.0	0.0			-25.6	[0.0, 121.0, '+']			320.0	[' ', 0.0, 128.0, ' ']	120.1	[' ', 0.0, 1210.0, ' ']	31.7	[0.0, 811.0, ' ']	0.0	[0.0, 905.0]	-2.2	[0.0, 1003.0]	-4.4	[0.0, 1107.0]	-7.2	[0.0, 1112.0]	-13.3	[0.0, 1223.0]	-1.7	[0.0, 617.0]	-2.8	[0.0, 519.0]	-4.4	[0.0, 430.0]	-7.2	[0.0, 428.0]	-11.1	[0.0, 407.0]					938.3	[' ', 0.0]	2665.0	[' ', 0.0]	5.87	0.0	13.3	0.0	-1.57	0.0		
28	1938	9.2	9.2	0.0	101.0	0.0	62.0	0.0	15.0	0.0	201.0	49.0	0.0	1.0	0.0	218.0	0.0	24.0	0.0	105.0	0.0	0.0	0.0			-20.0	[0.0, 217.0, ' ']	3226.0	[' ', 0.0, 213.0, ' ']	940.0	[' ', 0.0, 210.0, ' ']	65.5	[' ', 0.0, 210.0, ' ']	30.0	[0.0, 723.0, '+']	0.0	[0.0, 905.0]	-2.8	[0.0, 1016.0]	-4.4	[0.0, 1017.0]	-6.7	[0.0, 1106.0]	-12.2	[0.0, 1111.0]	0.0	[0.0, 619.0]	-2.8	[0.0, 521.0]	-5.0	[0.0, 507.0]	-8.9	[0.0, 503.0]	-8.9	[0.0, 503.0]	4404.4	4.0	4404.4	0.0	1021.9	[' ', 0.0]	9279.0	[' ', 0.0]	5.65	0.0	12.46	0.0	-1.15	0.0		
29	1939	16.6	16.6	0.0	74.0	0.0	36.0	0.0	2.0	0.0		24.0	0.0	1.0	0.0	210.0	0.0	24.0	0.0	104.0	0.0	0.0	0.0			-18.3	[0.0, 209.0, ' ']			483.0	[' ', 0.0, 308.0, ' ']	40.1	[' ', 0.0, 104.0, ' ']	31.7	[0.0, 727.0, ' ']	-2.2	[0.0, 914.0]	-2.2	[0.0, 914.0]	-8.9	[0.0, 1025.0]	-8.9	[0.0, 1025.0]	-8.9	[0.0, 1025.0]	-1.1	[0.0, 618.0]	-3.9	[0.0, 617.0]	-5.6	[0.0, 519.0]	-6.7	[0.0, 315.0]	-9.4	[0.0, 311.0]	4383.3	3.0	4383.3	0.0	449.3	[' ', 0.0]	3146.0	[' ', 0.0]	6.87	0.0	14.27	0.0	-0.53	0.0		
