	date	cdsd	cldd	cldd_attributes	dp01	dp01_attributes	dp10	dp10_attributes	dp1x	dp1x_attributes	dsnd	dsnw	dsnw_attributes	dt00	dt00_attributes	dt32	dt32_attributes	dx32	dx32_attributes	dx70	dx70_attributes	dx90	dx90_attributes	dyfg	dyts	emnt	emnt_attributes	emsd	emsd_attributes	emsn	emsn_attributes	emxp	emxp_attributes	emxt	emxt_attributes	fzf0	fzf0_attributes	fzf1	fzf1_attributes	fzf2	fzf2_attributes	fzf3	fzf3_attributes	fzf4	fzf4_attributes	fzf5	fzf5_attributes	fzf6	fzf6_attributes	fzf7	fzf7_attributes	fzf8	fzf8_attributes	fzf9	fzf9_attributes	hdsd	hdsd_attributes	htdd	htdd_attributes	prcp	prcp_attributes	snow	snow_attributes	tavg	tavg_attributes	tmax	tmax_attributes	tmin	tmin_attributes	wdmv	wdmv_attributes
30	1940	7.7	7.7	0.0	94.0	0.0	65.0	0.0	18.0	0.0	140.0	45.0	0.0	0.0	0.0	192.0	0.0	7.0	0.0	108.0	0.0	0.0	0.0			-15.6	[0.0, 113.0, ' ']	1321.0	[' ', 0.0, 228.0, ' ']	508.0	[' ', 0.0, 1224.0, ' ']	65.3	[' ', 0.0, 326.0, ' ']	31.1	[0.0, 812.0, ' ']	0.0	[0.0, 919.0]	-2.8	[0.0, 1028.0]	-7.2	[0.0, 1103.0]	-7.2	[0.0, 1103.0]	-10.0	[0.0, 1110.0]	0.0	[0.0, 529.0]	-3.3	[0.0, 505.0]	-5.0	[0.0, 416.0]	-6.7	[0.0, 405.0]	-12.2	[0.0, 313.0]	3925.2	2.0	3925.2	0.0	1261.1	[' ', 0.0]	5225.0	[' ', 0.0]	6.83	0.0	13.67	0.0	0.0	0.0		
31	1941																																																							4324.5	5.0	4324.5													
32	1942	18.3	18.3	0.0	81.0	0.0	52.0	0.0	10.0	0.0	168.0	37.0	0.0	1.0	0.0	226.0	0.0	16.0	0.0	92.0	0.0	0.0	0.0			-17.8	[0.0, 102.0, ' ']	1575.0	[' ', 0.0, 206.0, ' ']	305.0	[' ', 0.0, 313.0, '+']	80.8	[' ', 0.0, 1117.0, ' ']	31.7	[0.0, 721.0, ' ']	-1.7	[0.0, 919.0]	-2.8	[0.0, 1012.0]	-5.6	[0.0, 1029.0]	-8.3	[0.0, 1104.0]	-8.9	[0.0, 1116.0]	0.0	[0.0, 626.0]	-2.2	[0.0, 529.0]	-4.4	[0.0, 513.0]	-8.3	[0.0, 512.0]	-9.4	[0.0, 417.0]					878.3	[' ', 0.0]	4601.0	[' ', 0.0]	5.5	0.0	12.72	0.0	-1.71	0.0		
33	1943	2.5	2.5	0.0	69.0	0.0	38.0	0.0	7.0	0.0	107.0	25.0	0.0	0.0	0.0	211.0	0.0	10.0	0.0	100.0	0.0	0.0	0.0			-16.7	[0.0, 118.0, ' ']	940.0	[' ', 0.0, 207.0, ' ']	432.0	[' ', 0.0, 129.0, ' ']	92.2	[' ', 0.0, 120.0, ' ']	29.4	[0.0, 729.0, '+']	-0.6	[0.0, 1011.0]	-4.4	[0.0, 1019.0]	-4.4	[0.0, 1019.0]	-6.7	[0.0, 1101.0]	-11.1	[0.0, 1226.0]	0.0	[0.0, 626.0]	-2.2	[0.0, 624.0]	-6.1	[0.0, 516.0]	-8.3	[0.0, 331.0]	-9.4	[0.0, 330.0]	4276.1	1.0	4276.1	0.0	634.1	[' ', 0.0]	3000.0	[' ', 0.0]	6.23	0.0	13.38	0.0	-0.93	0.0		
34	1944	2.5	2.5	0.0	80.0	0.0	54.0	0.0	6.0	0.0	182.0	43.0	0.0	0.0	0.0	222.0	0.0	28.0	0.0	86.0	0.0	0.0	0.0			-15.0	[0.0, 104.0, ' ']	1905.0	[' ', 0.0, 304.0, ' ']	762.0	[' ', 0.0, 228.0, ' ']	90.2	[' ', 0.0, 1109.0, ' ']	30.6	[0.0, 813.0, '+']	0.0	[0.0, 802.0]	-2.2	[0.0, 1012.0]	-5.0	[0.0, 1107.0]	-7.8	[0.0, 1112.0]	-9.4	[0.0, 1117.0]	0.0	[0.0, 709.0]	-3.3	[0.0, 616.0]	-5.6	[0.0, 516.0]	-7.2	[0.0, 425.0]	-8.9	[0.0, 421.0]	4574.5	5.0	4574.5	0.0	780.4	[' ', 0.0]	6315.0	[' ', 0.0]	5.1	0.0	12.06	0.0	-1.86	0.0		
35	1945	6.6	6.6	0.0	105.0	0.0	65.0	0.0	11.0	0.0	174.0	44.0	0.0	0.0	0.0	212.0	0.0	30.0	0.0	92.0	0.0	0.0	0.0			-15.0	[0.0, 1219.0, '+']	1168.0	[' ', 0.0, 325.0, '+']	584.0	[' ', 0.0, 1204.0, ' ']	80.0	[' ', 0.0, 201.0, ' ']	30.6	[0.0, 728.0, '+']	-1.7	[0.0, 923.0]	-2.2	[0.0, 924.0]	-7.8	[0.0, 1107.0]	-7.8	[0.0, 1107.0]	-12.2	[0.0, 1108.0]	-0.6	[0.0, 616.0]	-2.2	[0.0, 528.0]	-6.1	[0.0, 414.0]	-11.7	[0.0, 413.0]	-11.7	[0.0, 413.0]	4748.8	8.0	4748.8	0.0	1033.9	[' ', 0.0]	6156.0	[' ', 0.0]	5.55	0.0	12.29	0.0	-1.19	0.0		
36	1946	9.3	9.3	0.0	70.0	0.0	39.0	0.0	5.0	0.0	151.0	27.0	0.0	1.0	0.0	224.0	0.0	24.0	0.0	90.0	0.0	1.0	0.0			-17.8	[0.0, 212.0, ' ']	1219.0	[' ', 0.0, 329.0, ' ']	610.0	[' ', 0.0, 328.0, ' ']	77.5	[' ', 0.0, 1118.0, ' ']	32.8	[0.0, 720.0, ' ']	0.0	[0.0, 907.0]	-2.2	[0.0, 917.0]	-6.1	[0.0, 1018.0]	-8.9	[0.0, 1029.0]	-8.9	[0.0, 1029.0]	-1.7	[0.0, 624.0]	-2.2	[0.0, 529.0]	-5.0	[0.0, 420.0]	-7.2	[0.0, 403.0]	-11.7	[0.0, 402.0]	4430.9	9.0	4430.9	0.0	586.9	[' ', 0.0]	3294.0	[' ', 0.0]	5.67	0.0	12.73	0.0	-1.39	0.0		
37	1947	0.6	0.6	0.0	61.0	0.0	33.0	0.0	3.0	0.0	118.0	19.0	0.0	0.0	0.0	203.0	0.0	16.0	0.0	103.0	0.0	0.0	0.0			-16.1	[0.0, 115.0, ' ']	610.0	[' ', 0.0, 128.0, ' ']	381.0	[' ', 0.0, 127.0, ' ']	41.9	[' ', 0.0, 211.0, ' ']	30.0	[0.0, 719.0, ' ']	-1.7	[0.0, 822.0]	-3.9	[0.0, 918.0]	-4.4	[0.0, 1103.0]	-8.3	[0.0, 1105.0]	-9.4	[0.0, 1106.0]	0.0	[0.0, 622.0]	-2.2	[0.0, 604.0]	-6.7	[0.0, 409.0]	-6.7	[0.0, 409.0]	-8.9	[0.0, 404.0]	4275.4	4.0	4275.4	0.0	431.7	[' ', 0.0]	1949.0	[' ', 0.0]	6.15	0.0	13.25	0.0	-0.94	0.0		
38	1948	1.6	1.6	0.0	89.0	0.0	62.0	0.0	6.0	0.0	146.0	49.0	0.0	2.0	0.0	214.0	0.0	36.0	0.0	85.0	0.0	0.0	0.0			-18.9	[0.0, 212.0, ' ']	1295.0	[' ', 0.0, 1215.0, ' ']	914.0	[' ', 0.0, 1214.0, ' ']	45.0	[' ', 0.0, 1102.0, ' ']	29.4	[0.0, 901.0, ' ']	-0.6	[0.0, 919.0]	-3.9	[0.0, 925.0]	-4.4	[0.0, 926.0]	-6.7	[0.0, 1030.0]	-11.1	[0.0, 1126.0]	0.0	[0.0, 617.0]	-2.2	[0.0, 531.0]	-4.4	[0.0, 510.0]	-8.9	[0.0, 508.0]	-8.9	[0.0, 508.0]	4572.6	6.0	4572.6	0.0	724.0	[' ', 0.0]	6683.0	[' ', 0.0]	4.79	0.0	11.58	0.0	-2.0	0.0		
39	1949	4.7	4.7	0.0	68.0	0.0	33.0	0.0	3.0	0.0	161.0	31.0	0.0	11.0	0.0	208.0	0.0	42.0	0.0	103.0	0.0	0.0	0.0	10.0		-21.1	[0.0, 104.0, ' ']	2210.0	[' ', 0.0, 211.0, ' ']	559.0	[' ', 0.0, 211.0, ' ']	57.7	[' ', 0.0, 1110.0, ' ']	29.4	[0.0, 803.0, '+']	0.0	[0.0, 929.0]	-5.0	[0.0, 1007.0]	-5.0	[0.0, 1007.0]	-10.6	[0.0, 1019.0]	-10.6	[0.0, 1019.0]	-1.1	[0.0, 602.0]	-2.2	[0.0, 518.0]	-4.4	[0.0, 404.0]	-8.3	[0.0, 402.0]	-9.4	[0.0, 325.0]	4779.7	7.0	4779.7	0.0	459.8	[' ', 0.0]	5218.0	[' ', 0.0]	5.23	0.0	12.28	0.0	-1.81	0.0		
40	1950	5.5	5.5	0.0	91.0	0.0	63.0	0.0	20.0	0.0	126.0	38.0	0.0	10.0	0.0	215.0	0.0	27.0	0.0	89.0	0.0	0.0	0.0	1.0	7.0	-22.8	[0.0, 115.0, ' ']	1778.0	[' ', 0.0, 114.0, ' ']	610.0	[' ', 0.0, 111.0, ' ']	115.8	[' ', 0.0, 1119.0, ' ']	31.1	[0.0, 629.0, ' ']	-0.6	[0.0, 805.0]	-6.1	[0.0, 930.0]	-6.1	[0.0, 930.0]	-7.2	[0.0, 1110.0]	-8.9	[0.0, 1202.0]	-0.6	[0.0, 625.0]	-3.9	[0.0, 608.0]	-4.4	[0.0, 509.0]	-8.9	[0.0, 507.0]	-8.9	[0.0, 507.0]	4619.0	0.0	4619.0	0.0	1407.0	[' ', 0.0]	6069.0	[' ', 0.0]	5.79	0.0	12.71	0.0	-1.13	0.0		
41	1951	1.4	1.4	0.0	79.0	0.0	57.0	0.0	14.0	0.0	144.0	48.0	0.0	1.0	0.0	226.0	0.0	32.0	0.0	92.0	0.0	0.0	0.0		9.0	-18.9	[0.0, 303.0, ' ']	1981.0	[' ', 0.0, 1231.0, ' ']	584.0	[' ', 0.0, 119.0, ' ']	66.5	[' ', 0.0, 122.0, ' ']	29.4	[0.0, 717.0, ' ']	0.0	[0.0, 928.0]	-2.2	[0.0, 1004.0]	-4.4	[0.0, 1021.0]	-6.7	[0.0, 1116.0]	-11.1	[0.0, 1124.0]	-1.1	[0.0, 704.0]	-2.8	[0.0, 607.0]	-5.0	[0.0, 513.0]	-6.7	[0.0, 430.0]	-8.9	[0.0, 312.0]	4324.1	1.0	4324.1	0.0	993.8	[' ', 0.0]	7388.0	[' ', 0.0]	5.53	0.0	12.51	0.0	-1.46	0.0		
42	1952	0.6	0.6	0.0	88.0	0.0	62.0	0.0	16.0	0.0		58.0	0.0	3.0	0.0	222.0	0.0	50.0	0.0	86.0	0.0	0.0	0.0			-20.6	[0.0, 320.0, ' ']			1067.0	[' ', 0.0, 115.0, ' ']	96.3	[' ', 0.0, 115.0, ' ']	27.8	[0.0, 709.0, ' ']	-2.8	[0.0, 910.0]	-2.8	[0.0, 910.0]	-4.4	[0.0, 1102.0]	-7.8	[0.0, 1116.0]	-10.6	[0.0, 1117.0]	0.0	[0.0, 630.0]	-2.2	[0.0, 615.0]	-4.4	[0.0, 420.0]	-6.7	[0.0, 415.0]	-11.7	[0.0, 323.0]	4995.4	4.0	4995.4	0.0	1136.5	[' ', 0.0]	12684.0	[' ', 0.0]	4.94	0.0	11.79	0.0	-1.92	0.0		
43	1953	1.4	1.4	0.0	79.0	0.0	52.0	0.0	6.0	0.0	157.0	36.0	0.0	0.0	0.0	229.0	0.0	18.0	0.0	71.0	0.0	0.0	0.0		1.0	-13.9	[0.0, 219.0, ' ']	1397.0	[' ', 0.0, 320.0, ' ']	445.0	[' ', 0.0, 320.0, ' ']	36.6	[' ', 0.0, 109.0, ' ']	28.9	[0.0, 713.0, ' ']	0.0	[0.0, 929.0]	-2.8	[0.0, 1015.0]	-4.4	[0.0, 1021.0]	-7.8	[0.0, 1117.0]	-9.4	[0.0, 1118.0]	0.0	[0.0, 627.0]	-2.2	[0.0, 613.0]	-5.6	[0.0, 526.0]	-6.7	[0.0, 502.0]	-8.9	[0.0, 501.0]	4750.0	0.0	4750.0	0.0	619.1	[' ', 0.0]	4408.0	[' ', 0.0]	5.31	0.0	11.94	0.0	-1.32	0.0	16406.0	0.0
44	1954	4.9	4.9	0.0	54.0	0.0	38.0	0.0	10.0	0.0	132.0	30.0	0.0	0.0	0.0	225.0	0.0	20.0	0.0	83.0	0.0	0.0	0.0			-15.6	[0.0, 312.0, ' ']	1143.0	[' ', 0.0, 214.0, ' ']	457.0	[' ', 0.0, 117.0, ' ']	61.2	[' ', 0.0, 213.0, ' ']	29.4	[0.0, 802.0, ' ']	0.0	[0.0, 815.0]	-7.8	[0.0, 1024.0]	-7.8	[0.0, 1024.0]	-7.8	[0.0, 1024.0]	-11.7	[0.0, 1130.0]	0.0	[0.0, 618.0]	-3.9	[0.0, 606.0]	-4.4	[0.0, 410.0]	-8.3	[0.0, 401.0]	-9.4	[0.0, 326.0]	4474.0	0.0	4474.0	0.0	672.6	[' ', 0.0]	3772.0	[' ', 0.0]	6.01	0.0	13.09	0.0	-1.07	0.0	15979.0	0.0
45	1955	6.4	6.4	0.0	85.0	0.0	51.0	0.0	9.0	0.0		38.0	0.0	1.0	0.0	227.0	0.0	39.0	0.0	82.0	0.0	0.0	0.0		2.0	-17.8	[0.0, 228.0, ' ']			711.0	[' ', 0.0, 1224.0, ' ']	128.0	[' ', 0.0, 1223.0, ' ']	30.6	[0.0, 902.0, ' ']	-1.7	[0.0, 916.0]	-2.2	[0.0, 925.0]	-4.4	[0.0, 1027.0]	-12.2	[0.0, 1115.0]	-12.2	[0.0, 1115.0]	-1.1	[0.0, 706.0]	-3.9	[0.0, 602.0]	-4.4	[0.0, 601.0]	-7.8	[0.0, 428.0]	-13.3	[0.0, 427.0]	4814.5	5.0	4814.5	0.0	986.8	[' ', 0.0]	5830.0	[' ', 0.0]	5.23	0.0	12.21	0.0	-1.76	0.0		
46	1956	0.3	0.3	0.0	82.0	0.0	49.0	0.0	10.0	0.0		35.0	0.0	3.0	0.0	214.0	0.0	30.0	0.0	77.0	0.0	0.0	0.0		12.0	-19.4	[0.0, 216.0, ' ']			610.0	[' ', 0.0, 127.0, ' ']	93.7	[' ', 0.0, 105.0, ' ']	28.3	[0.0, 629.0, ' ']	-0.6	[0.0, 1011.0]	-2.2	[0.0, 1012.0]	-11.7	[0.0, 1024.0]	-11.7	[0.0, 1024.0]	-11.7	[0.0, 1024.0]	-0.6	[0.0, 620.0]	-2.2	[0.0, 605.0]	-5.0	[0.0, 406.0]	-9.4	[0.0, 403.0]	-9.4	[0.0, 403.0]	4639.0	0.0	4639.0	0.0	817.6	[' ', 0.0]	5524.0	[' ', 0.0]	5.26	0.0	12.0	0.0	-1.48	0.0	19289.0	0.0
47	1957	0.0	0.0	0.0	99.0	0.0	59.0	0.0	8.0	0.0		35.0	0.0	0.0	0.0	208.0	0.0	26.0	0.0	88.0	0.0	0.0	0.0		4.0	-16.7	[0.0, 127.0, ' ']			508.0	[' ', 0.0, 1218.0, ' ']	47.5	[' ', 0.0, 113.0, ' ']	27.8	[0.0, 909.0, '+']	-1.7	[0.0, 830.0]	-2.8	[0.0, 1004.0]	-5.0	[0.0, 1105.0]	-6.7	[0.0, 1106.0]	-8.9	[0.0, 1117.0]	-1.1	[0.0, 616.0]	-2.2	[0.0, 520.0]	-5.6	[0.0, 418.0]	-7.8	[0.0, 330.0]	-9.4	[0.0, 314.0]	4581.8	8.0	4581.8	0.0	825.0	[' ', 0.0]	4117.0	[' ', 0.0]	5.68	0.0	12.02	0.0	-0.66	0.0	17998.0	0.0
48	1958	5.0	5.0	0.0	86.0	0.0	59.0	0.0	6.0	0.0		39.0	0.0	0.0	0.0	200.0	0.0	22.0	0.0	84.0	0.0	0.0	0.0		16.0	-14.4	[0.0, 1117.0, ' ']			1067.0	[' ', 0.0, 403.0, ' ']	93.2	[' ', 0.0, 403.0, ' ']	28.9	[0.0, 815.0, ' ']	-0.6	[0.0, 913.0]	-2.8	[0.0, 924.0]	-5.0	[0.0, 1112.0]	-12.2	[0.0, 1115.0]	-12.2	[0.0, 1115.0]	0.0	[0.0, 604.0]	-2.8	[0.0, 513.0]	-4.4	[0.0, 426.0]	-7.8	[0.0, 424.0]	-8.9	[0.0, 408.0]	4640.4	4.0	4640.4	0.0	813.6	[' ', 0.0]	6697.0	[' ', 0.0]	6.38	0.0	12.85	0.0	-0.09	0.0		
49	1959	25.1	25.1	0.0	51.0	0.0	32.0	0.0	7.0	0.0	87.0	23.0	0.0	0.0	0.0	218.0	0.0	13.0	0.0	95.0	0.0	0.0	0.0		4.0	-16.1	[0.0, 213.0, ' ']	1067.0	[' ', 0.0, 211.0, ' ']	521.0	[' ', 0.0, 211.0, ' ']	51.8	[' ', 0.0, 211.0, ' ']	30.0	[0.0, 722.0, '+']	-2.8	[0.0, 915.0]	-2.8	[0.0, 915.0]	-4.4	[0.0, 1104.0]	-7.8	[0.0, 1205.0]	-8.9	[0.0, 1213.0]	0.0	[0.0, 610.0]	-2.8	[0.0, 528.0]	-6.7	[0.0, 504.0]	-6.7	[0.0, 504.0]	-8.9	[0.0, 225.0]	4055.4	4.0	4055.4	0.0	515.1	[' ', 0.0]	2908.0	[' ', 0.0]	6.75	0.0	13.99	0.0	-0.5	0.0	14516.0	0.0
50	1960				74.0	0.0	52.0	0.0	7.0	0.0		29.0	0.0	0.0	0.0	217.0	0.0								10.0	-16.1	[0.0, 101.0, ' ']			406.0	[' ', 0.0, 209.0, ' ']	94.7	[' ', 0.0, 208.0, ' ']			0.0	[0.0, 823.0]	-2.8	[0.0, 1009.0]	-8.9	[0.0, 1115.0]	-8.9	[0.0, 1115.0]	-8.9	[0.0, 1115.0]	-1.1	[0.0, 527.0]	-2.8	[0.0, 524.0]	-7.2	[0.0, 523.0]	-7.2	[0.0, 523.0]	-9.4	[0.0, 310.0]	4325.0	0.0	4325.0	0.0	776.8	[' ', 0.0]	4410.0	[' ', 0.0]					-0.47	0.0		
51	1961	45.3	45.3	0.0	88.0	0.0	53.0	0.0	4.0	0.0		28.0	0.0	0.0	0.0	212.0	0.0	13.0	0.0	88.0	0.0	2.0	0.0		7.0	-15.0	[0.0, 1211.0, ' ']			483.0	[' ', 0.0, 423.0, ' ']	34.8	[' ', 0.0, 1021.0, ' ']	32.2	[0.0, 805.0, '+']	0.0	[0.0, 917.0]	-2.8	[0.0, 1008.0]	-4.4	[0.0, 1009.0]	-6.7	[0.0, 1022.0]	-9.4	[0.0, 1116.0]	0.0	[0.0, 531.0]	-2.8	[0.0, 527.0]	-6.1	[0.0, 512.0]	-6.7	[0.0, 425.0]	-9.4	[0.0, 424.0]					581.7	[' ', 0.0]	3629.0	[' ', 0.0]	6.83	0.0	14.03	0.0	-0.38	0.0		
52	1962	0.3	0.3	0.0	69.0	0.0	43.0	0.0	15.0	0.0	123.0	33.0	0.0	5.0	0.0	200.0	0.0	24.0	0.0	99.0	0.0	0.0	0.0		2.0	-23.3	[0.0, 227.0, ' ']	1880.0	[' ', 0.0, 302.0, ' ']	610.0	[' ', 0.0, 302.0, ' ']	76.2	[' ', 0.0, 210.0, ' ']	28.9	[0.0, 825.0, '+']	-1.1	[0.0, 1005.0]	-2.2	[0.0, 1014.0]	-5.6	[0.0, 1117.0]	-8.3	[0.0, 1129.0]	-11.1	[0.0, 1225.0]	0.0	[0.0, 607.0]	-3.9	[0.0, 525.0]	-6.1	[0.0, 514.0]	-6.7	[0.0, 429.0]	-8.9	[0.0, 324.0]	4587.8	8.0	4587.8	0.0	977.9	[' ', 0.0]	5249.0	[' ', 0.0]	6.32	0.0	13.3	0.0	-0.66	0.0		
53	1963	2.5	2.5	0.0	84.0	0.0	58.0	0.0	12.0	0.0	108.0	36.0	0.0	1.0	0.0	188.0	0.0	12.0	0.0	84.0	0.0	0.0	0.0		2.0	-18.9	[0.0, 113.0, ' ']	914.0	[' ', 0.0, 421.0, '+']	457.0	[' ', 0.0, 328.0, ' ']	147.3	[' ', 0.0, 201.0, ' ']	28.3	[0.0, 816.0, ' ']	-1.7	[0.0, 1012.0]	-2.8	[0.0, 1031.0]	-5.6	[0.0, 1104.0]	-6.7	[0.0, 1116.0]	-8.9	[0.0, 1210.0]	0.0	[0.0, 630.0]	-2.8	[0.0, 511.0]	-4.4	[0.0, 509.0]	-7.8	[0.0, 423.0]	-11.7	[0.0, 422.0]	4164.7	7.0	4164.7	0.0	1079.5	[' ', 0.0]	4258.0	[' ', 0.0]	6.36	0.0	12.83	0.0	-0.11	0.0		
54	1964				90.0	0.0	58.0	0.0	12.0	0.0	165.0	48.0	0.0	0.0	0.0	210.0	0.0								1.0	-13.9	[0.0, 308.0, ' ']	1422.0	[' ', 0.0, 122.0, ' ']	686.0	[' ', 0.0, 122.0, ' ']	172.0	[' ', 0.0, 1223.0, ' ']			-2.2	[0.0, 901.0]	-2.2	[0.0, 901.0]	-4.4	[0.0, 1111.0]	-9.4	[0.0, 1113.0]	-9.4	[0.0, 1113.0]	-0.6	[0.0, 619.0]	-2.8	[0.0, 509.0]	-5.6	[0.0, 507.0]	-7.8	[0.0, 425.0]	-11.7	[0.0, 424.0]	4530.3	3.0	4530.3	0.0	1208.0	[' ', 0.0]	8120.0	[' ', 0.0]					-0.97	0.0		
55	1965	5.0	5.0	0.0	85.0	0.0	51.0	0.0	12.0	0.0	149.0	32.0	0.0	1.0	0.0	198.0	0.0	23.0	0.0	76.0	0.0	0.0	0.0			-17.8	[0.0, 101.0, ' ']	1651.0	[' ', 0.0, 1231.0, ' ']	686.0	[' ', 0.0, 1225.0, ' ']	63.5	[' ', 0.0, 106.0, ' ']	27.2	[0.0, 809.0, '+']	-1.1	[0.0, 917.0]	-2.2	[0.0, 918.0]	-6.1	[0.0, 919.0]	-7.2	[0.0, 1125.0]	-11.7	[0.0, 1126.0]	-1.1	[0.0, 615.0]	-3.3	[0.0, 508.0]	-5.0	[0.0, 507.0]	-6.7	[0.0, 411.0]	-8.9	[0.0, 302.0]					828.3	[' ', 0.0]	5870.0	[' ', 0.0]	5.85	0.0	12.12	0.0	-0.41	0.0		
56	1966	18.3	18.3	0.0	65.0	0.0	38.0	0.0	6.0	0.0	134.0	32.0	0.0	1.0	0.0	184.0	0.0	19.0	0.0	98.0	0.0	0.0	0.0			-17.8	[0.0, 303.0, ' ']	1626.0	[' ', 0.0, 101.0, ' ']	356.0	[' ', 0.0, 206.0, ' ']	50.8	[' ', 0.0, 1205.0, ' ']	31.1	[0.0, 730.0, ' ']	-2.8	[0.0, 914.0]	-2.8	[0.0, 914.0]	-5.0	[0.0, 1013.0]	-11.7	[0.0, 1122.0]	-11.7	[0.0, 1122.0]	-0.6	[0.0, 604.0]	-2.8	[0.0, 603.0]	-5.6	[0.0, 427.0]	-6.7	[0.0, 323.0]	-11.7	[0.0, 320.0]	4369.6	6.0	4369.6	0.0	572.9	[' ', 0.0]	3384.0	[' ', 0.0]	6.85	0.0	13.92	0.0	-0.23	0.0		
