	date	cdsd	cldd	cldd_attributes	dp01	dp01_attributes	dp10	dp10_attributes	dp1x	dp1x_attributes	dsnd	dsnw	dsnw_attributes	dt00	dt00_attributes	dt32	dt32_attributes	dx32	dx32_attributes	dx70	dx70_attributes	dx90	dx90_attributes	dyfg	dyts	emnt	emnt_attributes	emsd	emsd_attributes	emsn	emsn_attributes	emxp	emxp_attributes	emxt	emxt_attributes	fzf0	fzf0_attributes	fzf1	fzf1_attributes	fzf2	fzf2_attributes	fzf3	fzf3_attributes	fzf4	fzf4_attributes	fzf5	fzf5_attributes	fzf6	fzf6_attributes	fzf7	fzf7_attributes	fzf8	fzf8_attributes	fzf9	fzf9_attributes	hdsd	hdsd_attributes	htdd	htdd_attributes	prcp	prcp_attributes	snow	snow_attributes	tavg	tavg_attributes	tmax	tmax_attributes	tmin	tmin_attributes	wdmv	wdmv_attributes
57	1967	20.3	20.3	0.0	90.0	0.0	64.0	0.0	10.0	0.0		49.0	0.0	0.0	0.0	207.0	0.0	21.0	0.0	96.0	0.0	0.0	0.0			-15.6	[0.0, 1221.0, ' ']			762.0	[' ', 0.0, 313.0, '+']	70.1	[' ', 0.0, 121.0, ' ']	30.0	[0.0, 814.0, ' ']	-2.8	[0.0, 1003.0]	-2.8	[0.0, 1003.0]	-4.4	[0.0, 1125.0]	-7.8	[0.0, 1129.0]	-10.6	[0.0, 1130.0]	0.0	[0.0, 613.0]	-2.8	[0.0, 601.0]	-4.4	[0.0, 512.0]	-7.8	[0.0, 501.0]	-11.7	[0.0, 430.0]	4494.0	0.0	4494.0	0.0	994.7	[' ', 0.0]	9181.0	[' ', 0.0]	6.17	0.0	12.87	0.0	-0.52	0.0		
58	1968	9.7	9.7	0.0	83.0	0.0	61.0	0.0	12.0	0.0	140.0	39.0	0.0	2.0	0.0	210.0	0.0	10.0	0.0	87.0	0.0	0.0	0.0			-20.0	[0.0, 1220.0, ' ']	1499.0	[' ', 0.0, 131.0, ' ']	584.0	[' ', 0.0, 130.0, ' ']	38.6	[' ', 0.0, 1225.0, ' ']	29.4	[0.0, 728.0, '+']	0.0	[0.0, 822.0]	-2.8	[0.0, 921.0]	-5.0	[0.0, 1113.0]	-8.9	[0.0, 1126.0]	-8.9	[0.0, 1126.0]	0.0	[0.0, 613.0]	-2.2	[0.0, 524.0]	-5.6	[0.0, 514.0]	-7.8	[0.0, 421.0]	-9.4	[0.0, 417.0]	4095.3	3.0	4095.3	0.0	781.8	[' ', 0.0]	5890.0	[' ', 0.0]	6.39	0.0	13.15	0.0	-0.37	0.0		
59	1969	12.8	12.8	0.0	83.0	0.0	64.0	0.0	18.0	0.0	138.0			0.0	0.0	198.0	0.0	20.0	0.0	96.0	0.0	0.0	0.0			-16.7	[0.0, 131.0, ' ']	2438.0	[' ', 0.0, 303.0, ' ']			102.4	[' ', 0.0, 121.0, ' ']	30.0	[0.0, 810.0, '+']	-1.7	[0.0, 1003.0]	-2.8	[0.0, 1005.0]	-7.8	[0.0, 1117.0]	-7.8	[0.0, 1117.0]	-10.0	[0.0, 1225.0]	-0.6	[0.0, 628.0]	-2.2	[0.0, 501.0]	-4.4	[0.0, 426.0]	-7.8	[0.0, 407.0]	-8.9	[0.0, 325.0]	4459.0	0.0	4459.0	0.0	1304.2	[' ', 0.0]			6.35	0.0	12.99	0.0	-0.29	0.0		
60	1970	17.5	17.5	0.0	84.0	0.0	61.0	0.0	17.0	0.0	135.0	41.0	0.0	0.0	0.0	207.0	0.0	15.0	0.0	95.0	0.0	0.0	0.0			-15.6	[0.0, 1222.0, ' ']	1676.0	[' ', 0.0, 1221.0, ' ']	762.0	[' ', 0.0, 1217.0, ' ']	47.0	[' ', 0.0, 116.0, ' ']	30.6	[0.0, 813.0, '+']	0.0	[0.0, 905.0]	-3.9	[0.0, 922.0]	-7.8	[0.0, 1027.0]	-7.8	[0.0, 1027.0]	-10.0	[0.0, 1203.0]	0.0	[0.0, 611.0]	-4.4	[0.0, 511.0]	-4.4	[0.0, 511.0]	-6.7	[0.0, 429.0]	-8.9	[0.0, 427.0]	4136.9	9.0	4136.9	0.0	1049.9	[' ', 0.0]	5577.0	[' ', 0.0]	6.52	0.0	13.27	0.0	-0.24	0.0		
61	1971																																																							4577.3	3.0	4577.3	0.0												
62	1972	33.4	33.4	0.0	83.0	0.0	57.0	0.0	4.0	0.0	135.0	32.0	0.0	7.0	0.0	207.0	0.0	23.0	0.0	94.0	0.0	2.0	0.0			-26.7	[0.0, 1211.0, ' ']	1245.0	[' ', 0.0, 128.0, ' ']	406.0	[' ', 0.0, 128.0, ' ']	39.1	[' ', 0.0, 1114.0, ' ']	32.2	[0.0, 809.0, '+']	-1.1	[0.0, 911.0]	-2.2	[0.0, 912.0]	-5.6	[0.0, 1025.0]	-7.8	[0.0, 1029.0]	-12.2	[0.0, 1123.0]	-1.7	[0.0, 611.0]	-2.2	[0.0, 521.0]	-5.6	[0.0, 425.0]	-9.4	[0.0, 414.0]	-9.4	[0.0, 414.0]					632.4	[' ', 0.0]	3528.0	[' ', 0.0]	6.21	0.0	13.28	0.0	-0.86	0.0		
63	1973	0.8	0.8	0.0	93.0	0.0	68.0	0.0	5.0	0.0	155.0			0.0	0.0	209.0	0.0	20.0	0.0	91.0	0.0	0.0	0.0			-16.7	[0.0, 105.0, ' ']	965.0	[' ', 0.0, 213.0, '+']			48.0	[' ', 0.0, 112.0, ' ']	28.3	[0.0, 802.0, '+']	-0.6	[0.0, 824.0]	-2.2	[0.0, 925.0]	-5.0	[0.0, 1010.0]	-7.2	[0.0, 1024.0]	-10.0	[0.0, 1105.0]	-1.1	[0.0, 618.0]	-2.2	[0.0, 615.0]	-4.4	[0.0, 501.0]	-7.2	[0.0, 418.0]	-8.9	[0.0, 330.0]	4515.8	8.0	4515.8	0.0	807.8	[' ', 0.0]			5.76	0.0	12.76	0.0	-1.24	0.0		
64	1974	3.3	3.3	0.0	69.0	0.0	46.0	0.0	6.0	0.0	116.0	41.0	0.0	0.0	0.0	201.0	0.0	17.0	0.0	112.0	0.0	0.0	0.0			-15.0	[0.0, 102.0, ' ']	686.0	[' ', 0.0, 107.0, ' ']	305.0	[' ', 0.0, 1228.0, ' ']	47.0	[' ', 0.0, 301.0, ' ']	31.1	[0.0, 725.0, ' ']	-0.6	[0.0, 914.0]	-3.3	[0.0, 1102.0]	-4.4	[0.0, 1103.0]	-7.2	[0.0, 1122.0]	-10.0	[0.0, 1222.0]	-1.1	[0.0, 711.0]	-2.8	[0.0, 521.0]	-5.0	[0.0, 520.0]	-7.2	[0.0, 519.0]	-12.8	[0.0, 518.0]	4491.9	9.0	4491.9	0.0	626.4	[' ', 0.0]	3477.0	[' ', 0.0]	6.3	0.0	13.38	0.0	-0.78	0.0		
65	1975	11.6	11.6	0.0	87.0	0.0	54.0	0.0	8.0	0.0	154.0	52.0	0.0	0.0	0.0	221.0	0.0	24.0	0.0	89.0	0.0	0.0	0.0			-16.1	[0.0, 1214.0, ' ']	1473.0	[' ', 0.0, 406.0, ' ']	457.0	[' ', 0.0, 322.0, ' ']	34.5	[' ', 0.0, 1007.0, ' ']	31.1	[0.0, 727.0, ' ']	-2.2	[0.0, 1007.0]	-2.2	[0.0, 1007.0]	-8.3	[0.0, 1023.0]	-8.3	[0.0, 1023.0]	-10.0	[0.0, 1111.0]	0.0	[0.0, 702.0]	-5.6	[0.0, 701.0]	-5.6	[0.0, 701.0]	-7.8	[0.0, 505.0]	-10.6	[0.0, 415.0]	4473.8	8.0	4473.8	0.0	728.3	[' ', 0.0]	5624.0	[' ', 0.0]	5.38	0.0	12.22	0.0	-1.45	0.0		
66	1976	4.5	4.5	0.0	56.0	0.0	28.0	0.0	2.0	0.0	57.0	22.0	0.0	0.0	0.0	215.0	0.0	15.0	0.0	67.0	0.0	0.0	0.0			-17.2	[0.0, 305.0, ' ']	508.0	[' ', 0.0, 302.0, ' ']	381.0	[' ', 0.0, 301.0, ' ']	27.2	[' ', 0.0, 815.0, ' ']	28.9	[0.0, 728.0, ' ']	0.0	[0.0, 807.0]	-2.2	[0.0, 1017.0]	-4.4	[0.0, 1027.0]	-7.8	[0.0, 1127.0]	-11.1	[0.0, 1128.0]	-1.1	[0.0, 612.0]	-2.2	[0.0, 604.0]	-5.6	[0.0, 428.0]	-6.7	[0.0, 426.0]	-8.9	[0.0, 417.0]	4512.3	3.0	4512.3	0.0	236.9	[' ', 0.0]	1598.0	[' ', 0.0]	5.88	0.0	13.31	0.0	-1.55	0.0		
67	1978																																																							4117.4	4.0	4117.4	0.0												
68	1979	5.0	5.0	0.0	64.0	0.0	48.0	0.0	7.0	0.0	128.0	42.0	0.0	1.0	0.0	199.0	0.0	9.0	0.0	116.0	0.0	0.0	0.0			-19.4	[0.0, 129.0, ' ']	1626.0	[' ', 0.0, 223.0, ' ']	381.0	[' ', 0.0, 223.0, ' ']	60.7	[' ', 0.0, 1224.0, ' ']	30.0	[0.0, 801.0, ' ']	-1.1	[0.0, 1020.0]	-7.8	[0.0, 1021.0]	-7.8	[0.0, 1021.0]	-7.8	[0.0, 1021.0]	-10.0	[0.0, 1119.0]	-1.1	[0.0, 618.0]	-2.2	[0.0, 530.0]	-6.1	[0.0, 509.0]	-7.2	[0.0, 508.0]	-8.9	[0.0, 331.0]					674.4	[' ', 0.0]	4658.0	[' ', 0.0]	6.46	0.0	13.94	0.0	-1.03	0.0		
69	1980	11.6	11.6	0.0	75.0	0.0	54.0	0.0	12.0	0.0	125.0	37.0	0.0	0.0	0.0	208.0	0.0	3.0	0.0	88.0	0.0	0.0	0.0			-14.4	[0.0, 129.0, ' ']	1118.0	[' ', 0.0, 222.0, ' ']	381.0	[' ', 0.0, 221.0, ' ']	88.6	[' ', 0.0, 112.0, ' ']	31.1	[0.0, 727.0, ' ']	0.0	[0.0, 920.0]	-2.8	[0.0, 1014.0]	-4.4	[0.0, 1113.0]	-7.8	[0.0, 1124.0]	-11.7	[0.0, 1206.0]	0.0	[0.0, 613.0]	-2.2	[0.0, 606.0]	-4.4	[0.0, 525.0]	-10.6	[0.0, 407.0]	-10.6	[0.0, 407.0]	4282.8	8.0	4282.8	0.0	1019.8	[' ', 0.0]	3631.0	[' ', 0.0]	6.54	0.0	13.53	0.0	-0.47	0.0		
70	1981	20.8	20.8	0.0	78.0	0.0	61.0	0.0	17.0	0.0	107.0	33.0	0.0	0.0	0.0	201.0	0.0	4.0	0.0	110.0	0.0	2.0	0.0			-13.3	[0.0, 224.0, ' ']	1016.0	[' ', 0.0, 130.0, ' ']	432.0	[' ', 0.0, 128.0, ' ']	95.0	[' ', 0.0, 1220.0, ' ']	32.8	[0.0, 810.0, ' ']	-1.7	[0.0, 1004.0]	-2.2	[0.0, 1005.0]	-6.1	[0.0, 1012.0]	-7.8	[0.0, 1030.0]	-8.9	[0.0, 1125.0]	-0.6	[0.0, 615.0]	-3.3	[0.0, 613.0]	-4.4	[0.0, 415.0]	-10.6	[0.0, 330.0]	-10.6	[0.0, 330.0]	4030.6	6.0	4030.6	0.0	1185.3	[' ', 0.0]	2943.0	[' ', 0.0]	7.51	0.0	14.73	0.0	0.29	0.0		
71	1982	4.6	4.6	0.0	93.0	0.0	77.0	0.0	23.0	0.0	172.0	50.0	0.0	3.0	0.0	213.0	0.0	19.0	0.0	75.0	0.0	0.0	0.0			-21.1	[0.0, 106.0, ' ']	1880.0	[' ', 0.0, 404.0, ' ']	432.0	[' ', 0.0, 331.0, '+']	67.1	[' ', 0.0, 1222.0, ' ']	29.4	[0.0, 731.0, ' ']	0.0	[0.0, 916.0]	-4.4	[0.0, 1001.0]	-4.4	[0.0, 1001.0]	-10.0	[0.0, 1109.0]	-10.0	[0.0, 1109.0]	0.0	[0.0, 608.0]	-2.2	[0.0, 606.0]	-4.4	[0.0, 605.0]	-7.2	[0.0, 416.0]	-10.0	[0.0, 408.0]	4288.5	5.0	4288.5	0.0	1463.4	[' ', 0.0]	7063.0	[' ', 0.0]	5.47	0.0	12.13	0.0	-1.19	0.0		
72	1983	5.5	5.5	0.0	117.0	0.0	87.0	0.0	14.0	0.0	185.0	60.0	0.0	0.0	0.0	185.0	0.0	6.0	0.0	76.0	0.0	0.0	0.0			-12.2	[0.0, 1205.0, '+']	2032.0	[' ', 0.0, 324.0, ' ']	356.0	[' ', 0.0, 226.0, ' ']	73.7	[' ', 0.0, 1111.0, ' ']	29.4	[0.0, 807.0, ' ']	-2.2	[0.0, 920.0]	-2.2	[0.0, 920.0]	-8.3	[0.0, 1114.0]	-8.3	[0.0, 1114.0]	-11.1	[0.0, 1122.0]	-0.6	[0.0, 720.0]	-4.4	[0.0, 514.0]	-4.4	[0.0, 514.0]	-7.8	[0.0, 506.0]	-8.9	[0.0, 412.0]	4428.7	7.0	4428.7	0.0	1315.9	[' ', 0.0]	5912.0	[' ', 0.0]	6.05	0.0	12.4	0.0	-0.29	0.0		
73	1984	21.2	21.2	0.0	84.0	0.0	49.0	0.0	6.0	0.0	153.0	37.0	0.0	0.0	0.0	199.0	0.0	6.0	0.0	106.0	0.0	0.0	0.0			-16.1	[0.0, 1217.0, ' ']	940.0	[' ', 0.0, 222.0, ' ']	381.0	[' ', 0.0, 1216.0, ' ']	45.2	[' ', 0.0, 1128.0, ' ']	30.6	[0.0, 705.0, ' ']	-0.6	[0.0, 924.0]	-2.2	[0.0, 925.0]	-4.4	[0.0, 1017.0]	-7.8	[0.0, 1018.0]	-13.3	[0.0, 1126.0]	0.0	[0.0, 621.0]	-3.9	[0.0, 516.0]	-5.0	[0.0, 506.0]	-8.9	[0.0, 428.0]	-8.9	[0.0, 428.0]	4040.4	4.0	4040.4	0.0	673.6	[' ', 0.0]	3599.0	[' ', 0.0]	6.72	0.0	13.78	0.0	-0.33	0.0		
74	1985	16.4	16.4	0.0	63.0	0.0	40.0	0.0	8.0	0.0	156.0	36.0	0.0	0.0	0.0	206.0	0.0	19.0	0.0	91.0	0.0	0.0	0.0			-17.2	[0.0, 201.0, ' ']	1549.0	[' ', 0.0, 209.0, ' ']	787.0	[' ', 0.0, 208.0, ' ']	44.5	[' ', 0.0, 327.0, ' ']	31.1	[0.0, 619.0, ' ']	-1.1	[0.0, 910.0]	-2.2	[0.0, 912.0]	-5.0	[0.0, 1014.0]	-7.8	[0.0, 1109.0]	-11.7	[0.0, 1111.0]	0.0	[0.0, 602.0]	-2.8	[0.0, 530.0]	-5.0	[0.0, 420.0]	-8.9	[0.0, 330.0]	-8.9	[0.0, 330.0]	3988.1	1.0	3988.1	0.0	603.1	[' ', 0.0]	4797.0	[' ', 0.0]	6.51	0.0	13.77	0.0	-0.76	0.0		
75	1986	2.6	2.6	0.0	73.0	0.0	51.0	0.0	12.0	0.0	118.0	34.0	0.0	0.0	0.0	205.0	0.0	3.0	0.0	97.0	0.0	0.0	0.0			-12.8	[0.0, 209.0, ' ']	1067.0	[' ', 0.0, 221.0, '+']	305.0	[' ', 0.0, 220.0, ' ']	110.7	[' ', 0.0, 218.0, ' ']	28.3	[0.0, 906.0, '+']	0.0	[0.0, 910.0]	-2.2	[0.0, 918.0]	-5.6	[0.0, 1107.0]	-6.7	[0.0, 1108.0]	-9.4	[0.0, 1130.0]	-3.9	[0.0, 522.0]	-3.9	[0.0, 522.0]	-6.1	[0.0, 507.0]	-10.0	[0.0, 506.0]	-10.0	[0.0, 506.0]	4068.6	6.0	4068.6	0.0	1072.6	[' ', 0.0]	2894.0	[' ', 0.0]	7.41	0.0	14.39	0.0	0.41	0.0		
76	1987	16.0	16.0	0.0	89.0	0.0	54.0	0.0	4.0	0.0		25.0	0.0	0.0	0.0	168.0	0.0	12.0	0.0	125.0	0.0	0.0	0.0			-17.2	[0.0, 116.0, ' ']			203.0	[' ', 0.0, 313.0, ' ']	57.2	[' ', 0.0, 213.0, ' ']	31.1	[0.0, 805.0, ' ']	-1.1	[0.0, 1014.0]	-2.2	[0.0, 1102.0]	-7.2	[0.0, 1115.0]	-7.2	[0.0, 1115.0]	-8.9	[0.0, 1126.0]	-1.1	[0.0, 722.0]	-3.9	[0.0, 502.0]	-4.4	[0.0, 420.0]	-7.2	[0.0, 419.0]	-9.4	[0.0, 322.0]	4007.3	3.0	4007.3	0.0	539.1	[' ', 0.0]	2299.0	[' ', 0.0]	7.31	0.0	14.74	0.0	-0.13	0.0		
77	1988	49.4	49.4	0.0	69.0	0.0	47.0	0.0	4.0	0.0	118.0	31.0	0.0	1.0	0.0	192.0	0.0	9.0	0.0	128.0	0.0	1.0	0.0			-18.3	[0.0, 1227.0, ' ']	1067.0	[' ', 0.0, 1225.0, ' ']	330.0	[' ', 0.0, 1221.0, '+']	69.3	[' ', 0.0, 1123.0, ' ']	32.8	[0.0, 719.0, ' ']	-1.7	[0.0, 918.0]	-3.9	[0.0, 1109.0]	-7.2	[0.0, 1114.0]	-7.2	[0.0, 1114.0]	-8.9	[0.0, 1118.0]	-1.1	[0.0, 609.0]	-3.9	[0.0, 608.0]	-4.4	[0.0, 530.0]	-6.7	[0.0, 506.0]	-9.4	[0.0, 310.0]	3892.7	7.0	3892.7	0.0	588.8	[' ', 0.0]	3440.0	[' ', 0.0]	7.62	0.0	15.5	0.0	-0.25	0.0		
78	1989	11.2	11.2	0.0	76.0	0.0	61.0	0.0	3.0	0.0		34.0	0.0	5.0	0.0	189.0	0.0	7.0	0.0	102.0	0.0	0.0	0.0			-26.1	[0.0, 207.0, ' ']			406.0	[' ', 0.0, 203.0, ' ']	74.4	[' ', 0.0, 1126.0, ' ']	30.6	[0.0, 723.0, '+']	0.0	[0.0, 903.0]	-3.9	[0.0, 1025.0]	-6.7	[0.0, 1026.0]	-6.7	[0.0, 1026.0]	-12.2	[0.0, 1127.0]	0.0	[0.0, 701.0]	-2.2	[0.0, 529.0]	-4.4	[0.0, 427.0]	-7.2	[0.0, 326.0]	-13.3	[0.0, 304.0]	3807.3	3.0	3807.3	0.0	783.6	[' ', 0.0]	3399.0	[' ', 0.0]	6.87	0.0	14.79	0.0	-1.05	0.0		
79	1990	26.9	26.9	0.0	69.0	0.0	45.0	0.0	3.0	0.0	125.0	24.0	0.0	7.0	0.0	189.0	0.0	11.0	0.0	107.0	0.0	1.0	0.0			-23.3	[0.0, 1222.0, ' ']	1626.0	[' ', 0.0, 218.0, ' ']	508.0	[' ', 0.0, 217.0, ' ']	40.4	[' ', 0.0, 217.0, ' ']	32.2	[0.0, 806.0, ' ']	-2.2	[0.0, 1008.0]	-2.2	[0.0, 1008.0]	-4.4	[0.0, 1020.0]	-7.8	[0.0, 1107.0]	-10.0	[0.0, 1120.0]	-0.6	[0.0, 613.0]	-4.4	[0.0, 601.0]	-4.4	[0.0, 601.0]	-11.1	[0.0, 314.0]	-11.1	[0.0, 314.0]	4020.5	5.0	4020.5	0.0	504.4	[' ', 0.0]	3071.0	[' ', 0.0]	6.97	0.0	14.98	0.0	-1.04	0.0		
80	1991	9.9	9.9	0.0	73.0	0.0	43.0	0.0	8.0	0.0				0.0	0.0	201.0	0.0	4.0	0.0	125.0	0.0	0.0	0.0			-13.3	[0.0, 129.0, ' ']					63.8	[' ', 0.0, 1026.0, ' ']	31.7	[0.0, 705.0, ' ']	0.0	[0.0, 1021.0]	-3.3	[0.0, 1024.0]	-4.4	[0.0, 1027.0]	-7.8	[0.0, 1028.0]	-12.2	[0.0, 1130.0]	0.0	[0.0, 626.0]	-2.2	[0.0, 519.0]	-4.4	[0.0, 511.0]	-7.2	[0.0, 411.0]	-10.0	[0.0, 328.0]	4186.4	4.0	4186.4	0.0	671.4	[' ', 0.0]			7.1	0.0	14.79	0.0	-0.6	0.0		
81	1992	19.7	19.7	0.0	70.0	0.0	36.0	0.0	9.0	0.0	97.0	21.0	0.0	1.0	0.0	174.0	0.0	7.0	0.0	138.0	0.0	1.0	0.0			-17.8	[0.0, 1219.0, ' ']	1575.0	[' ', 0.0, 1231.0, ' ']	533.0	[' ', 0.0, 1229.0, ' ']	67.8	[' ', 0.0, 1209.0, ' ']	32.2	[0.0, 812.0, ' ']	-1.1	[0.0, 1003.0]	-2.2	[0.0, 1103.0]	-7.8	[0.0, 1109.0]	-7.8	[0.0, 1109.0]	-11.7	[0.0, 1120.0]	-0.6	[0.0, 616.0]	-2.8	[0.0, 613.0]	-5.0	[0.0, 406.0]	-6.7	[0.0, 307.0]	-9.4	[0.0, 203.0]	3590.4	4.0	3590.4	0.0	672.0	[' ', 0.0]	3492.0	[' ', 0.0]	7.88	0.0	15.65	0.0	0.1	0.0		
82	1993	8.4	8.4	0.0	71.0	0.0	53.0	0.0	7.0	0.0	136.0			3.0	0.0	200.0	0.0	17.0	0.0	103.0	0.0	0.0	0.0			-20.6	[0.0, 103.0, ' ']	2464.0	[' ', 0.0, 224.0, ' ']			67.8	[' ', 0.0, 220.0, ' ']	31.7	[0.0, 803.0, ' ']	0.0	[0.0, 919.0]	-2.2	[0.0, 1019.0]	-4.4	[0.0, 1108.0]	-7.2	[0.0, 1114.0]	-11.1	[0.0, 1115.0]	-0.6	[0.0, 622.0]	-2.2	[0.0, 508.0]	-4.4	[0.0, 419.0]	-6.7	[0.0, 412.0]	-9.4	[0.0, 302.0]	4113.6	6.0	4113.6	0.0	815.3	[' ', 0.0]			6.24	0.0	13.68	0.0	-1.21	0.0		
83	1994	27.3	27.3	0.0	70.0	0.0	49.0	0.0	4.0	0.0				0.0	0.0	201.0	0.0	13.0	0.0	120.0	0.0	1.0	0.0			-16.7	[0.0, 1208.0, '+']					49.8	[' ', 0.0, 218.0, ' ']	32.2	[0.0, 722.0, ' ']	0.0	[0.0, 911.0]	-2.2	[0.0, 1015.0]	-6.1	[0.0, 1021.0]	-8.3	[0.0, 1103.0]	-9.4	[0.0, 1112.0]	-0.6	[0.0, 618.0]	-2.2	[0.0, 616.0]	-5.0	[0.0, 426.0]	-12.2	[0.0, 323.0]	-12.2	[0.0, 323.0]	4044.0	0.0	4044.0	0.0	635.8	[' ', 0.0]			6.89	0.0	14.91	0.0	-1.14	0.0		
84	1995	8.7	8.7	0.0	94.0	0.0	71.0	0.0	15.0	0.0	148.0	43.0	0.0	0.0	0.0	183.0	0.0	7.0	0.0	95.0	0.0	0.0	0.0			-16.1	[0.0, 214.0, ' ']	2108.0	[' ', 0.0, 324.0, ' ']	813.0	[' ', 0.0, 323.0, ' ']	101.1	[' ', 0.0, 323.0, ' ']	29.4	[0.0, 729.0, ' ']	-1.1	[0.0, 929.0]	-2.2	[0.0, 1004.0]	-5.0	[0.0, 1104.0]	-6.7	[0.0, 1214.0]	-11.1	[0.0, 1217.0]	0.0	[0.0, 621.0]	-2.2	[0.0, 607.0]	-4.4	[0.0, 513.0]	-8.3	[0.0, 421.0]	-8.9	[0.0, 414.0]	4311.4	4.0	4311.4	0.0	1438.3	[' ', 0.0]	6249.0	[' ', 0.0]	6.85	0.0	13.82	0.0	-0.12	0.0		
