	date	cdsd	cldd	cldd_attributes	dp01	dp01_attributes	dp10	dp10_attributes	dp1x	dp1x_attributes	dsnd	dsnw	dsnw_attributes	dt00	dt00_attributes	dt32	dt32_attributes	dx32	dx32_attributes	dx70	dx70_attributes	dx90	dx90_attributes	dyfg	dyts	emnt	emnt_attributes	emsd	emsd_attributes	emsn	emsn_attributes	emxp	emxp_attributes	emxt	emxt_attributes	fzf0	fzf0_attributes	fzf1	fzf1_attributes	fzf2	fzf2_attributes	fzf3	fzf3_attributes	fzf4	fzf4_attributes	fzf5	fzf5_attributes	fzf6	fzf6_attributes	fzf7	fzf7_attributes	fzf8	fzf8_attributes	fzf9	fzf9_attributes	hdsd	hdsd_attributes	htdd	htdd_attributes	prcp	prcp_attributes	snow	snow_attributes	tavg	tavg_attributes	tmax	tmax_attributes	tmin	tmin_attributes	wdmv	wdmv_attributes
85	1996	12.1	12.1	0.0	97.0	0.0	74.0	0.0	27.0	0.0	124.0	41.0	0.0	0.0	0.0	188.0	0.0	12.0	0.0	110.0	0.0	0.0	0.0			-15.0	[0.0, 306.0, '+']	1575.0	[' ', 0.0, 128.0, ' ']	940.0	[' ', 0.0, 1221.0, ' ']	78.7	[' ', 0.0, 125.0, ' ']	30.0	[0.0, 725.0, ' ']	0.0	[0.0, 905.0]	-2.8	[0.0, 1017.0]	-6.7	[0.0, 1020.0]	-6.7	[0.0, 1020.0]	-9.4	[0.0, 1224.0]	0.0	[0.0, 627.0]	-2.2	[0.0, 504.0]	-6.7	[0.0, 421.0]	-6.7	[0.0, 421.0]	-11.7	[0.0, 420.0]	3857.5	5.0	3857.5	0.0	1680.4	[' ', 0.0]	8166.0	[' ', 0.0]	7.16	0.0	14.09	0.0	0.24	0.0		
86	1997	6.5	6.5	0.0	70.0	0.0	46.0	0.0	8.0	0.0	120.0	27.0	0.0	0.0	0.0	187.0	0.0	10.0	0.0	98.0	0.0	0.0	0.0			-16.7	[0.0, 114.0, ' ']	1118.0	[' ', 0.0, 126.0, ' ']	533.0	[' ', 0.0, 123.0, ' ']	118.1	[' ', 0.0, 102.0, ' ']	30.6	[0.0, 808.0, ' ']	0.0	[0.0, 915.0]	-2.2	[0.0, 1008.0]	-5.0	[0.0, 1108.0]	-12.8	[0.0, 1209.0]	-12.8	[0.0, 1209.0]	-1.1	[0.0, 701.0]	-3.9	[0.0, 501.0]	-5.0	[0.0, 412.0]	-7.2	[0.0, 405.0]	-8.9	[0.0, 401.0]	3877.6	6.0	3877.6	0.0	845.5	[' ', 0.0]	3062.0	[' ', 0.0]	7.15	0.0	13.95	0.0	0.33	0.0		
87	1998	23.6	23.6	0.0	108.0	0.0	80.0	0.0	14.0	0.0		54.0	0.0	2.0	0.0	203.0	0.0	11.0	0.0	84.0	0.0	0.0	0.0			-17.8	[0.0, 1223.0, '+']			432.0	[' ', 0.0, 222.0, ' ']	70.1	[' ', 0.0, 324.0, ' ']	30.6	[0.0, 719.0, '+']	0.0	[0.0, 910.0]	-2.2	[0.0, 1004.0]	-4.4	[0.0, 1031.0]	-8.3	[0.0, 1109.0]	-9.4	[0.0, 1122.0]	-2.8	[0.0, 530.0]	-2.8	[0.0, 530.0]	-5.6	[0.0, 517.0]	-10.6	[0.0, 416.0]	-10.6	[0.0, 416.0]	4369.3	3.0	4369.3	0.0	1211.2	[' ', 0.0]	6198.0	[' ', 0.0]	6.05	0.0	12.45	0.0	-0.35	0.0		
88	1999	6.7	6.7	0.0	68.0	0.0	51.0	0.0	12.0	0.0	148.0	37.0	0.0	0.0	0.0	195.0	0.0	10.0	0.0	102.0	0.0	0.0	0.0			-15.0	[0.0, 409.0, ' ']	1702.0	[' ', 0.0, 221.0, ' ']	584.0	[' ', 0.0, 210.0, ' ']	91.9	[' ', 0.0, 209.0, ' ']	30.6	[0.0, 713.0, ' ']	-0.6	[0.0, 1007.0]	-2.8	[0.0, 1017.0]	-5.0	[0.0, 1030.0]	-9.4	[0.0, 1122.0]	-9.4	[0.0, 1122.0]	-0.6	[0.0, 610.0]	-3.3	[0.0, 608.0]	-4.4	[0.0, 412.0]	-11.7	[0.0, 410.0]	-11.7	[0.0, 410.0]	4285.7	7.0	4285.7	0.0	934.7	[' ', 0.0]	5892.0	[' ', 0.0]	6.72	0.0	13.79	0.0	-0.34	0.0		
89	2000	14.2	14.2	0.0	68.0	0.0	48.0	0.0	8.0	0.0	130.0	34.0	0.0	0.0	0.0	190.0	0.0	3.0	0.0	109.0	0.0	0.0	0.0			-13.3	[0.0, 102.0, ' ']	1092.0	[' ', 0.0, 228.0, ' ']	406.0	[' ', 0.0, 223.0, ' ']	72.6	[' ', 0.0, 125.0, ' ']	31.1	[0.0, 801.0, ' ']	-1.7	[0.0, 905.0]	-2.8	[0.0, 1012.0]	-4.4	[0.0, 1022.0]	-6.7	[0.0, 1109.0]	-9.4	[0.0, 1111.0]	0.0	[0.0, 517.0]	-3.9	[0.0, 512.0]	-8.3	[0.0, 511.0]	-8.3	[0.0, 511.0]	-8.9	[0.0, 321.0]	3849.2	2.0	3849.2	0.0	812.3	[' ', 0.0]	3948.0	[' ', 0.0]	7.21	0.0	13.92	0.0	0.51	0.0		
90	2001	31.4	31.4	0.0	71.0	0.0	51.0	0.0	5.0	0.0	126.0	40.0	0.0	0.0	0.0	165.0	0.0	14.0	0.0	126.0	0.0	0.0	0.0			-15.6	[0.0, 212.0, ' ']	965.0	[' ', 0.0, 1223.0, '+']	508.0	[' ', 0.0, 1203.0, ' ']	60.7	[' ', 0.0, 1122.0, ' ']	31.7	[0.0, 809.0, ' ']	-1.1	[0.0, 1009.0]	-2.2	[0.0, 1109.0]	-5.6	[0.0, 1123.0]	-11.7	[0.0, 1126.0]	-11.7	[0.0, 1126.0]	0.0	[0.0, 613.0]	-3.3	[0.0, 504.0]	-4.4	[0.0, 415.0]	-6.7	[0.0, 414.0]	-9.4	[0.0, 412.0]	4050.5	5.0	4050.5	0.0	674.5	[' ', 0.0]	5141.0	[' ', 0.0]	7.68	0.0	14.79	0.0	0.56	0.0		
91	2002	39.2	39.2	0.0	62.0	0.0	50.0	0.0	8.0	0.0	119.0	33.0	0.0	2.0	0.0	202.0	0.0	20.0	0.0	107.0	0.0	2.0	0.0			-17.8	[0.0, 130.0, '+']	1143.0	[' ', 0.0, 1221.0, ' ']	457.0	[' ', 0.0, 1229.0, ' ']	67.1	[' ', 0.0, 1108.0, ' ']	32.8	[0.0, 711.0, ' ']	-0.6	[0.0, 907.0]	-3.3	[0.0, 1024.0]	-6.7	[0.0, 1101.0]	-6.7	[0.0, 1101.0]	-11.1	[0.0, 1218.0]	-1.1	[0.0, 609.0]	-4.4	[0.0, 522.0]	-4.4	[0.0, 522.0]	-6.7	[0.0, 418.0]	-11.7	[0.0, 319.0]	3878.1	1.0	3878.1	0.0	729.4	[' ', 0.0]	4903.0	[' ', 0.0]	7.22	0.0	14.47	0.0	-0.02	0.0		
92	2003	39.3	39.3	0.0	85.0	0.0	56.0	0.0	5.0	0.0	130.0	32.0	0.0	0.0	0.0	180.0	0.0	9.0	0.0	135.0	0.0	1.0	0.0			-16.1	[0.0, 1227.0, ' ']	1092.0	[' ', 0.0, 101.0, ' ']	508.0	[' ', 0.0, 413.0, ' ']	70.1	[' ', 0.0, 413.0, ' ']	32.2	[0.0, 723.0, ' ']	-1.1	[0.0, 1010.0]	-2.2	[0.0, 1030.0]	-5.6	[0.0, 1031.0]	-10.6	[0.0, 1102.0]	-10.6	[0.0, 1102.0]	0.0	[0.0, 520.0]	-2.8	[0.0, 518.0]	-6.7	[0.0, 430.0]	-6.7	[0.0, 430.0]	-10.6	[0.0, 405.0]	3876.2	2.0	3876.2	0.0	704.3	[' ', 0.0]	4369.0	[' ', 0.0]	7.53	0.0	14.57	0.0	0.49	0.0		
93	2004	16.7	16.7	0.0	55.0	0.0	38.0	0.0	7.0	0.0	134.0	28.0	0.0	1.0	0.0	202.0	0.0	8.0	0.0	113.0	0.0	0.0	0.0			-18.9	[0.0, 104.0, ' ']	1270.0	[' ', 0.0, 227.0, ' ']	737.0	[' ', 0.0, 1231.0, ' ']	83.1	[' ', 0.0, 1231.0, ' ']	30.6	[0.0, 812.0, ' ']	-2.2	[0.0, 920.0]	-2.2	[0.0, 920.0]	-6.7	[0.0, 1021.0]	-6.7	[0.0, 1021.0]	-8.9	[0.0, 1028.0]	-0.6	[0.0, 611.0]	-3.3	[0.0, 512.0]	-7.8	[0.0, 326.0]	-7.8	[0.0, 326.0]	-9.4	[0.0, 229.0]	3883.0	0.0	3883.0	0.0	663.4	[' ', 0.0]	5299.0	[' ', 0.0]	6.97	0.0	14.28	0.0	-0.34	0.0		
94	2005	30.9	30.9	0.0	95.0	0.0	73.0	0.0	15.0	0.0	124.0	37.0	0.0	0.0	0.0	201.0	0.0	6.0	0.0	90.0	0.0	0.0	0.0			-15.0	[0.0, 113.0, ' ']	1702.0	[' ', 0.0, 111.0, ' ']	508.0	[' ', 0.0, 108.0, ' ']	136.4	[' ', 0.0, 1231.0, ' ']	31.1	[0.0, 717.0, ' ']	-2.8	[0.0, 911.0]	-2.8	[0.0, 911.0]	-4.4	[0.0, 1103.0]	-7.8	[0.0, 1126.0]	-12.2	[0.0, 1127.0]	-1.1	[0.0, 619.0]	-4.4	[0.0, 607.0]	-4.4	[0.0, 607.0]	-6.7	[0.0, 415.0]	-10.6	[0.0, 414.0]	4366.0	0.0	4366.0	0.0	1181.8	[' ', 0.0]	4752.0	[' ', 0.0]	6.62	0.0	13.27	0.0	-0.04	0.0		
95	2006	29.0	29.0	0.0	95.0	0.0	74.0	0.0	3.0	0.0	141.0	48.0	0.0	0.0	0.0	193.0	0.0	21.0	0.0	111.0	0.0	0.0	0.0			-15.6	[0.0, 312.0, ' ']	1016.0	[' ', 0.0, 315.0, ' ']	368.0	[' ', 0.0, 314.0, ' ']	62.7	[' ', 0.0, 228.0, ' ']	30.6	[0.0, 727.0, ' ']	-3.9	[0.0, 916.0]	-3.9	[0.0, 916.0]	-5.6	[0.0, 1026.0]	-6.7	[0.0, 1112.0]	-14.4	[0.0, 1129.0]	-1.1	[0.0, 614.0]	-2.8	[0.0, 529.0]	-5.6	[0.0, 419.0]	-7.8	[0.0, 418.0]	-11.1	[0.0, 329.0]	4198.2	2.0	4198.2	0.0	811.3	[' ', 0.0]	5293.0	[' ', 0.0]	6.6	0.0	13.54	0.0	-0.33	0.0		
96	2007	16.2	16.2	0.0	60.0	0.0	38.0	0.0	5.0	0.0	95.0	21.0	0.0	1.0	0.0	184.0	0.0	16.0	0.0	108.0	0.0	0.0	0.0			-18.9	[0.0, 113.0, ' ']	1067.0	[' ', 0.0, 227.0, ' ']	508.0	[' ', 0.0, 227.0, ' ']	43.7	[' ', 0.0, 227.0, ' ']	31.1	[0.0, 705.0, ' ']	-1.1	[0.0, 924.0]	-4.4	[0.0, 929.0]	-4.4	[0.0, 929.0]	-7.8	[0.0, 1124.0]	-9.4	[0.0, 1208.0]	-2.8	[0.0, 607.0]	-2.8	[0.0, 607.0]	-7.8	[0.0, 419.0]	-7.8	[0.0, 419.0]	-13.3	[0.0, 302.0]	3992.6	6.0	3992.6	0.0	486.9	[' ', 0.0]	3165.0	[' ', 0.0]	7.01	0.0	14.13	0.0	-0.11	0.0		
97	2008	19.0	19.0	0.0	65.0	0.0	40.0	0.0	7.0	0.0	120.0	33.0	0.0	0.0	0.0	206.0	0.0	26.0	0.0	110.0	0.0	0.0	0.0			-16.1	[0.0, 1218.0, ' ']	1651.0	[' ', 0.0, 203.0, ' ']	533.0	[' ', 0.0, 1225.0, ' ']	66.8	[' ', 0.0, 105.0, ' ']	31.7	[0.0, 815.0, ' ']	0.0	[0.0, 901.0]	-4.4	[0.0, 1010.0]	-4.4	[0.0, 1010.0]	-6.7	[0.0, 1013.0]	-11.1	[0.0, 1214.0]	0.0	[0.0, 611.0]	-3.3	[0.0, 512.0]	-5.0	[0.0, 501.0]	-7.8	[0.0, 424.0]	-9.4	[0.0, 421.0]	4233.6	6.0	4233.6	0.0	560.7	[' ', 0.0]	5398.0	[' ', 0.0]	6.6	0.0	13.83	0.0	-0.64	0.0		
98	2009	22.4	22.4	0.0	77.0	0.0	49.0	0.0	7.0	0.0	128.0	33.0	0.0	3.0	0.0	192.0	0.0	20.0	0.0	107.0	0.0	0.0	0.0			-20.0	[0.0, 1208.0, ' ']	1016.0	[' ', 0.0, 304.0, ' ']	635.0	[' ', 0.0, 304.0, ' ']	81.5	[' ', 0.0, 1014.0, ' ']	30.6	[0.0, 728.0, ' ']	-2.8	[0.0, 930.0]	-2.8	[0.0, 930.0]	-4.4	[0.0, 1004.0]	-7.2	[0.0, 1029.0]	-9.4	[0.0, 1121.0]	0.0	[0.0, 514.0]	-2.8	[0.0, 501.0]	-4.4	[0.0, 429.0]	-7.8	[0.0, 416.0]	-9.4	[0.0, 324.0]	3996.7	7.0	3996.7	0.0	691.2	[' ', 0.0]	4012.0	[' ', 0.0]	6.51	0.0	13.73	0.0	-0.71	0.0		
99	2010																																																							4296.4	4.0	4296.4	0.0												
100	2011	2.6	2.6		67.0		54.0		11.0			35.0		1.0		217.0		11.0		96.0		0.0				-18.3	['K', 226.0, ' ']			610.0	[' ', 'Z', 218.0, ' ']	70.4	[' ', 'K', 316.0, ' ']	28.9	['K', 827.0, ' ']	0.0	['K', 1005.0]	-2.2	['K', 1007.0]	-4.4	['K', 1102.0]	-7.2	['K', 1104.0]	-10.6	['K', 1105.0]	-0.6	['K', 607.0]	-3.3	['K', 603.0]	-5.6	['K', 529.0]	-6.7	['K', 516.0]	-9.4	['K', 430.0]					749.7	[' ', 'K']	5538.0	[' ', 'Z']	5.97		13.04		-1.1			
101	2012	31.2	31.2	7.0	83.0	7.0	60.0	7.0	12.0	7.0		38.0	7.0	0.0	7.0	190.0	7.0	18.0	7.0	126.0	7.0	0.0	7.0			-15.0	[7.0, 1219.0, '+']			432.0	[' ', 7.0, 1226.0, ' ']	79.0	[' ', 7.0, 121.0, ' ']	31.1	[7.0, 812.0, ' ']	0.0	[7.0, 1021.0]	-2.2	[7.0, 1023.0]	-5.0	[7.0, 1024.0]	-8.9	[7.0, 1109.0]	-8.9	[7.0, 1109.0]	0.0	['K', 626.0]	-2.2	['K', 606.0]	-6.1	['K', 414.0]	-8.3	['K', 407.0]	-12.2	['K', 406.0]	4154.0	0.0	4154.0	7.0	943.3	[' ', 7.0]	4701.0	[' ', 7.0]	7.38	7.0	14.68	7.0	0.07	7.0		
102	2013	40.7	40.7	7.0	54.0	7.0	29.0	7.0	0.0	7.0		12.0	7.0	4.0	7.0	213.0	7.0	15.0	7.0	107.0	7.0	2.0	7.0			-18.9	[7.0, 1208.0, ' ']			330.0	[' ', 7.0, 1207.0, ' ']	23.4	[' ', 7.0, 507.0, ' ']	32.2	[7.0, 722.0, '+']	-1.1	[7.0, 922.0]	-2.2	[7.0, 926.0]	-5.0	[7.0, 1004.0]	-14.4	[7.0, 1204.0]	-14.4	[7.0, 1204.0]	0.0	[7.0, 620.0]	-2.2	[7.0, 524.0]	-5.0	[7.0, 418.0]	-6.7	[7.0, 417.0]	-12.2	[7.0, 224.0]	3974.6	6.0	3974.6	7.0	228.3	[' ', 7.0]	1053.0	[' ', 7.0]	7.1	7.0	14.55	7.0	-0.36	7.0		
103	2014	46.7	46.7	7.0	75.0	7.0	48.0	7.0	5.0	7.0	47.0	20.0	7.0	0.0	7.0	191.0	7.0	4.0	7.0	121.0	7.0	1.0	7.0			-12.8	[7.0, 1231.0, ' ']	203.0	[' ', 7.0, 401.0, ' ']	203.0	[' ', 7.0, 401.0, ' ']	112.0	[' ', 7.0, 209.0, ' ']	33.3	[7.0, 715.0, ' ']	0.0	[7.0, 926.0]	-2.2	[7.0, 1022.0]	-5.6	[7.0, 1103.0]	-6.7	[7.0, 1116.0]	-8.9	[7.0, 1225.0]	-1.1	[7.0, 626.0]	-2.2	[7.0, 512.0]	-4.4	[7.0, 428.0]	-6.7	[7.0, 401.0]	-9.4	[7.0, 312.0]	3910.5	5.0	3910.5	7.0	629.3	[' ', 7.0]	1169.0	[' ', 7.0]	8.29	7.0	15.67	7.0	0.92	7.0		
104	2015	30.9	30.9	7.0	58.0	7.0	42.0	7.0	3.0	7.0	55.0	19.0	7.0	0.0	7.0	192.0	7.0	14.0	7.0	123.0	7.0	0.0	7.0			-15.0	[7.0, 1226.0, '+']	432.0	[' ', 7.0, 1226.0, '+']	305.0	[' ', 7.0, 1211.0, ' ']	58.9	[' ', 7.0, 1222.0, ' ']	31.1	[7.0, 825.0, '+']	-1.1	[7.0, 905.0]	-2.2	[7.0, 1030.0]	-5.6	[7.0, 1104.0]	-7.2	[7.0, 1105.0]	-11.7	[7.0, 1126.0]	-0.6	[7.0, 519.0]	-2.2	[7.0, 507.0]	-5.0	[7.0, 424.0]	-6.7	[7.0, 407.0]	-10.6	[7.0, 406.0]	3572.6	6.0	3572.6	7.0	574.3	[' ', 7.0]	1981.0	[' ', 7.0]	8.04	7.0	15.57	7.0	0.51	7.0		
105	2016	23.6	23.6	7.0	89.0	7.0	56.0	7.0	11.0	7.0	112.0	27.0	7.0	0.0	7.0	189.0	7.0	6.0	7.0	109.0	7.0	2.0	7.0			-16.1	[7.0, 1225.0, ' ']	737.0	[' ', 7.0, 115.0, ' ']	279.0	[' ', 7.0, 1127.0, '+']	65.3	[' ', 7.0, 1216.0, ' ']	32.2	[7.0, 730.0, '+']	-0.6	[7.0, 922.0]	-2.2	[7.0, 923.0]	-7.8	[7.0, 1117.0]	-7.8	[7.0, 1117.0]	-8.9	[7.0, 1124.0]	-1.1	[7.0, 607.0]	-2.2	[7.0, 523.0]	-5.0	[7.0, 424.0]	-7.2	[7.0, 329.0]	-8.9	[7.0, 204.0]	4003.5	5.0	4003.5	7.0	982.9	[' ', 7.0]	2782.0	[' ', 7.0]	7.48	7.0	14.85	7.0	0.1	7.0		
106	2017	46.5	46.5	7.0	92.0	7.0	70.0	7.0	21.0	7.0	131.0	40.0	7.0	0.0	7.0	198.0	7.0	13.0	7.0	106.0	7.0	0.0	7.0			-16.7	[7.0, 224.0, ' ']	1880.0	[' ', 7.0, 306.0, ' ']	457.0	[' ', 7.0, 111.0, ' ']	96.0	[' ', 7.0, 210.0, ' ']	30.6	[7.0, 709.0, ' ']	-0.6	[7.0, 921.0]	-2.8	[7.0, 1004.0]	-5.6	[7.0, 1107.0]	-10.6	[7.0, 1204.0]	-10.6	[7.0, 1204.0]	-1.7	[7.0, 613.0]	-3.9	[7.0, 610.0]	-5.6	[7.0, 415.0]	-8.9	[7.0, 414.0]	-8.9	[7.0, 414.0]	4191.7	7.0	4191.7	7.0	1518.8	[' ', 7.0]	5906.0	[' ', 7.0]	7.16	7.0	13.89	7.0	0.43	7.0		
107	2018	48.6	48.6	7.0	68.0	7.0	51.0	7.0	11.0	7.0	102.0	30.0	7.0	0.0	7.0	189.0	7.0	18.0	7.0	106.0	7.0	0.0	7.0			-15.6	[7.0, 220.0, ' ']	1245.0	[' ', 7.0, 317.0, ' ']	559.0	[' ', 7.0, 317.0, ' ']	63.2	[' ', 7.0, 322.0, ' ']	30.6	[7.0, 808.0, '+']	-1.7	[7.0, 1007.0]	-2.2	[7.0, 1014.0]	-6.7	[7.0, 1109.0]	-6.7	[7.0, 1109.0]	-11.1	[7.0, 1202.0]	-1.1	[7.0, 610.0]	-3.3	[7.0, 430.0]	-5.0	[7.0, 418.0]	-10.0	[7.0, 417.0]	-10.0	[7.0, 417.0]	4006.8	8.0	4006.8	7.0	759.7	[' ', 7.0]	4232.0	[' ', 7.0]	7.41	7.0	14.49	7.0	0.33	7.0		
108	2019	6.5	6.5	7.0	97.0	7.0	67.0	7.0	13.0	7.0	148.0	44.0	7.0	0.0	7.0	214.0	7.0	20.0	7.0	89.0	7.0	0.0	7.0			-17.2	[7.0, 211.0, ' ']	1702.0	[' ', 7.0, 217.0, ' ']	686.0	[' ', 7.0, 210.0, ' ']	81.5	[' ', 7.0, 214.0, ' ']	30.0	[7.0, 621.0, ' ']	-1.1	[7.0, 917.0]	-2.8	[7.0, 929.0]	-9.4	[7.0, 1028.0]	-9.4	[7.0, 1028.0]	-9.4	[7.0, 1028.0]	0.0	[7.0, 608.0]	-3.9	[7.0, 520.0]	-5.0	[7.0, 511.0]	-7.2	[7.0, 325.0]	-8.9	[7.0, 315.0]	4176.3	3.0	4176.3	7.0	1173.3	[' ', 7.0]	6500.0	[' ', 7.0]	6.19	7.0	12.69	7.0	-0.32	7.0		
109	2020	31.1	31.1	7.0	58.0	7.0	32.0	7.0	3.0	7.0	102.0	22.0	7.0	0.0	7.0	200.0	7.0	9.0	7.0	119.0	7.0	0.0	7.0			-14.4	[7.0, 203.0, ' ']	889.0	[' ', 7.0, 316.0, ' ']	597.0	[' ', 7.0, 315.0, ' ']	41.4	[' ', 7.0, 1118.0, ' ']	30.6	[7.0, 905.0, ' ']	-1.1	[7.0, 1023.0]	-2.2	[7.0, 1026.0]	-7.8	[7.0, 1107.0]	-7.8	[7.0, 1107.0]	-10.6	[7.0, 1109.0]	-0.6	[7.0, 617.0]	-3.3	[7.0, 608.0]	-4.4	[7.0, 414.0]	-8.3	[7.0, 403.0]	-8.9	[7.0, 402.0]	4280.6	6.0	4280.6	7.0	400.6	[' ', 7.0]	3177.0	[' ', 7.0]	7.34	7.0	14.51	7.0	0.17	7.0		
110	2021	93.9	93.9	7.0	71.0	7.0	50.0	7.0	12.0	7.0	113.0	34.0	7.0	0.0	7.0	210.0	7.0	13.0	7.0	119.0	7.0	4.0	7.0			-14.4	[7.0, 126.0, ' ']	1524.0	[' ', 7.0, 1227.0, ' ']	610.0	[' ', 7.0, 128.0, ' ']	154.9	[' ', 7.0, 1025.0, ' ']	33.3	[7.0, 713.0, '+']	-1.1	[7.0, 929.0]	-3.3	[7.0, 1009.0]	-6.7	[7.0, 1012.0]	-6.7	[7.0, 1012.0]	-11.1	[7.0, 1210.0]	-3.3	[7.0, 610.0]	-3.3	[7.0, 610.0]	-5.0	[7.0, 427.0]	-8.9	[7.0, 426.0]	-8.9	[7.0, 426.0]	3964.3	3.0	3964.3	7.0	867.5	[' ', 7.0]	5185.0	[' ', 7.0]	7.43	7.0	14.76	7.0	0.1	7.0		
111	2022	56.1	56.1	7.0	63.0	7.0	41.0	7.0	7.0	7.0	147.0	30.0	7.0	0.0	7.0	209.0	7.0	10.0	7.0	108.0	7.0	1.0	7.0			-16.1	[7.0, 1202.0, '+']	1194.0	[' ', 7.0, 101.0, ' ']	787.0	[' ', 7.0, 1211.0, ' ']	99.3	[' ', 7.0, 1211.0, ' ']	32.2	[7.0, 905.0, ' ']	0.0	[7.0, 922.0]	-6.7	[7.0, 1023.0]	-6.7	[7.0, 1023.0]	-6.7	[7.0, 1023.0]	-11.1	[7.0, 1110.0]	-1.1	[7.0, 619.0]	-2.2	[7.0, 521.0]	-4.4	[7.0, 512.0]	-9.4	[7.0, 511.0]	-9.4	[7.0, 511.0]	4214.4	4.0	4214.4	7.0	655.2	[' ', 7.0]	3605.0	[' ', 7.0]	6.68	7.0	14.3	7.0	-0.94	7.0		
112	2023	13.6	13.6	7.0	89.0	7.0	61.0	7.0	7.0	7.0	140.0	41.0	7.0	0.0	7.0	204.0	7.0	28.0	7.0	83.0	7.0	1.0	7.0			-17.2	[7.0, 131.0, ' ']	2057.0	[' ', 7.0, 301.0, ' ']	686.0	[' ', 7.0, 101.0, ' ']	84.6	[' ', 7.0, 101.0, ' ']	32.2	[7.0, 717.0, ' ']	0.0	[7.0, 922.0]	-2.8	[7.0, 1012.0]	-5.0	[7.0, 1026.0]	-6.7	[7.0, 1031.0]	-10.6	[7.0, 1127.0]	-1.1	[7.0, 621.0]	-2.8	[7.0, 620.0]	-5.6	[7.0, 424.0]	-7.2	[7.0, 421.0]	-9.4	[7.0, 420.0]	4682.4	4.0	4682.4	7.0	891.8	[' ', 7.0]	6056.0	[' ', 7.0]	5.53	7.0	12.53	7.0	-1.46	7.0		
113	2024																																																							4218.7	7.0	4218.7													
